epoch,score,selection_eligible,agreement,agreement_score,agreement_weight,agreement_coverage,dir_margin,margin_score,density_factor,skeleton_overlap,actual_pair_density,target_pair_density,global_asymmetry,asymmetry_score,high_conf_edges,k,guardrail_pass,guardrail_reason,guardrail_density_ratio,guardrail_required_skeleton_overlap,guardrail_peak_skeleton_overlap,adj_offdiag_mean,adj_offdiag_std,adj_offdiag_cv,adj_offdiag_min,adj_offdiag_max,adj_in_degree_mean,adj_in_degree_std,adj_parent_entropy_mean,adj_eff_parents_mean,adj_eff_parents_p90,adj_ungated_asym_mean,adj_ungated_asym_median,adj_ungated_asym_p90,noise_probe_available,noise_probe_timestep,noise_probe_patel_loss,noise_probe_blend50_loss,noise_probe_learned_loss,noise_probe_delta_blend50_minus_patel,noise_probe_delta_learned_minus_patel,noise_probe_ratio_blend50_over_patel,noise_probe_ratio_learned_over_patel,noise_probe_guide_l1_mean,msg_dir_mode_is_causal,msg_dir_raw_diag_mean,msg_dir_raw_offdiag_mean,msg_dir_raw_diag_gap,msg_dir_causal_diag_mean,msg_dir_causal_offdiag_mean,msg_dir_causal_diag_gap,msg_dir_active_diag_gap,msg_dir_gap_delta_causal_minus_raw,msg_dir_prefers_causal,directional_kappa_gate_enabled,directional_kappa_gate_quantile,directional_kappa_gate_threshold,directional_kappa_gate_pair_frac,main_loss_weight,directional_loss_active,directional_loss_end_epoch,directional_loss_deactivated_from_epoch,dir_loss_raw,dir_loss_weighted,dir_lambda_current,direction_lr_multiplier,direction_lr_current,direction_branch_frozen,freeze_direction_after_epoch,direction_branch_frozen_from_epoch,cross_loss_raw,cross_loss_weighted,ortho_loss_raw,ortho_loss_weighted,parent_entropy_raw,parent_entropy_weighted,parent_entropy_lambda_current,parent_cap_raw,parent_cap_weighted,parent_cap_lambda_current,parent_cap_target,ungated_symmetry_raw,ungated_symmetry_weighted,ungated_symmetry_lambda_current,gradient_alignment_probe_enabled,gradient_alignment_probe_seed,grad_probe_available,grad_probe_lambda_dir,grad_probe_diff_norm,grad_probe_dir_norm_raw,grad_probe_dir_norm_weighted,grad_probe_dir_to_diff_norm_ratio,grad_probe_cosine,grad_probe_cosine_negative
1,0.491270,0,0.000000,0.300000,0.000000,0.400000,0.230358,0.726575,0.000000,1.000000,0.000000,0.500000,0.115179,0.645684,2,5,0,before_selection_start,0.000000,0.500000,0.000000,0.126629,0.154251,1.218131,0.000000,0.426644,0.506516,0.179915,0.462853,1.901204,1.972171,0.000000,0.000000,0.000000,1.000000,500.000000,1.300801,1.302725,1.299832,0.001924,-0.000969,1.001479,0.999255,0.136551,0.000000,0.134257,0.187106,-0.052850,0.177842,0.200158,-0.022316,-0.052850,0.030534,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,2.263486,0.000000,0.000000,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.124025,0.000000,0.462853,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.489093,0,0.000000,0.300000,0.000000,0.400000,0.224722,0.715755,0.000000,1.000000,0.000000,0.500000,0.112361,0.634595,2,5,0,before_selection_start,0.000000,0.500000,0.000000,0.120844,0.148231,1.226632,0.000000,0.409064,0.483374,0.174288,0.460218,1.894354,1.966231,0.000000,0.000000,0.000000,1.000000,500.000000,1.300600,1.303127,1.301107,0.002527,0.000507,1.001943,1.000390,0.140617,0.000000,0.133413,0.186105,-0.052693,0.178268,0.199446,-0.021177,-0.052693,0.031515,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,2.311599,0.000000,0.000000,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.122718,0.000000,0.460218,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.484725,0,0.000000,0.300000,0.000000,0.400000,0.213900,0.693983,0.000000,1.000000,0.000000,0.500000,0.106950,0.612554,2,5,0,before_selection_start,0.000000,0.500000,0.000000,0.115412,0.141525,1.226252,0.000000,0.390753,0.461649,0.164315,0.458260,1.889085,1.956383,0.000000,0.000000,0.000000,1.000000,500.000000,1.305328,1.306768,1.306401,0.001441,0.001074,1.001104,1.000822,0.144298,0.000000,0.134017,0.185961,-0.051944,0.178794,0.198732,-0.019938,-0.051944,0.032006,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,2.330983,0.000000,0.000000,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.121362,0.000000,0.458260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.479796,0,0.000000,0.300000,0.000000,0.400000,0.202375,0.669314,0.000000,1.000000,0.000000,0.500000,0.101187,0.587987,2,5,0,before_selection_start,0.000000,0.500000,0.000000,0.114281,0.138205,1.209338,0.000000,0.380669,0.457125,0.155939,0.460944,1.895608,1.951901,0.000000,0.000000,0.000000,1.000000,500.000000,1.262919,1.270952,1.267568,0.008033,0.004650,1.006360,1.003682,0.144761,0.000000,0.136345,0.187223,-0.050878,0.178466,0.199139,-0.020673,-0.050878,0.030205,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,2.289087,0.000000,0.000000,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.120710,0.000000,0.460944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.473480,0,0.000000,0.300000,0.000000,0.400000,0.188512,0.637557,0.000000,1.000000,0.000000,0.500000,0.094256,0.556931,2,5,0,before_selection_start,0.000000,0.500000,0.000000,0.108933,0.131036,1.202905,0.000000,0.359518,0.435731,0.147013,0.461044,1.895554,1.949015,0.000000,0.000000,0.000000,1.000000,500.000000,1.276463,1.276163,1.275152,-0.000300,-0.001311,0.999765,0.998973,0.148597,0.000000,0.136897,0.187074,-0.050177,0.178530,0.198804,-0.020274,-0.050177,0.029903,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,2.316843,0.000000,0.000000,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.119000,0.000000,0.461044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.466777,1,0.000000,0.300000,0.000000,0.400000,0.174736,0.603698,0.000000,1.000000,0.000000,0.500000,0.087368,0.524447,2,5,0,low_density_factor|density_ratio_out_of_range,0.000000,0.500000,0.000000,0.104554,0.124919,1.194779,0.000000,0.344939,0.418217,0.137593,0.462681,1.899661,1.947322,0.000000,0.000000,0.000000,1.000000,500.000000,1.277402,1.273296,1.280232,-0.004106,0.002830,0.996786,1.002215,0.151714,0.000000,0.138773,0.188073,-0.049301,0.178250,0.199306,-0.021056,-0.049301,0.028245,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,2.289235,0.000797,0.000535,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.115744,0.000397,0.462681,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.459876,1,0.000000,0.300000,0.000000,0.400000,0.161396,0.568689,0.000000,1.000000,0.000000,0.500000,0.080698,0.491462,2,5,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.103139,0.121317,1.176245,0.000000,0.332064,0.412557,0.127595,0.466733,1.910294,1.951623,0.000000,0.000000,0.000000,1.000000,500.000000,1.261353,1.262333,1.264109,0.000980,0.002756,1.000777,1.002185,0.152434,0.000000,0.140949,0.189645,-0.048696,0.177988,0.200387,-0.022398,-0.048696,0.026298,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,2.161075,0.002233,0.001098,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.107874,0.001115,0.466733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.001098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.453006,1,0.000000,0.300000,0.000000,0.400000,0.148825,0.533697,0.000000,1.000000,0.000000,0.500000,0.074412,0.459031,2,5,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.099278,0.115466,1.163058,0.000000,0.313231,0.397111,0.115481,0.469219,1.917009,1.957868,0.000000,0.000000,0.000000,1.000000,500.000000,1.280253,1.276669,1.274021,-0.003584,-0.006232,0.997201,0.995132,0.155161,0.000000,0.141809,0.190610,-0.048801,0.177779,0.201025,-0.023246,-0.048801,0.025555,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,2.025884,0.003428,0.001804,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.094650,0.001695,0.469219,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.001804,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.441560,1,0.000000,0.300000,0.000000,0.400000,0.129170,0.475133,0.000000,1.000000,0.000000,0.500000,0.064585,0.405794,2,5,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.095302,0.108627,1.139823,0.000000,0.295437,0.381207,0.103073,0.475396,1.933469,1.973409,0.000000,0.000000,0.000000,1.000000,500.000000,1.264100,1.271613,1.264833,0.007513,0.000733,1.005943,1.000580,0.158065,0.000000,0.143256,0.192137,-0.048881,0.176935,0.202469,-0.025534,-0.048881,0.023347,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,1.840031,0.004637,0.002612,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.078330,0.002279,0.475396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.002612,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.429214,1,0.500000,0.500000,0.000000,0.400000,0.109400,0.411654,0.000000,1.000000,0.000000,0.500000,0.054700,0.349318,2,5,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.090744,0.100494,1.107437,0.000000,0.271356,0.362978,0.084575,0.480934,1.948305,1.987372,0.000000,0.000000,0.000000,1.000000,500.000000,1.266717,1.270930,1.267847,0.004213,0.001130,1.003326,1.000892,0.161366,0.000000,0.146769,0.194628,-0.047860,0.175789,0.203722,-0.027933,-0.047860,0.019927,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,1.567281,0.005796,0.003741,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.060570,0.002839,0.480934,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.003741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
