epoch,loss
1,1.0192572057247162
2,0.9105460572242737
3,0.8474978506565094
4,0.7919024419784546
5,0.7581763052940369
6,0.7372359025478363
7,0.7041480886936188
8,0.6812966144084931
9,0.6723833072185517
10,0.6514585852622986
11,0.6239716702699661
12,0.6078397923707962
13,0.5913240641355515
14,0.5765333724021912
15,0.5545749652385712
16,0.5475453823804856
17,0.5353175646066666
18,0.5196756023168564
19,0.5111929607391358
20,0.5016574031114578
21,0.4954605311155319
22,0.4793844884634018
23,0.47087023079395296
24,0.44210094630718233
25,0.4482479852437973
26,0.4420656245946884
27,0.4252863436937332
28,0.4060849910974503
29,0.3996498543024063
30,0.3872355061769486
