epoch,score,selection_eligible,agreement,agreement_score,agreement_weight,agreement_coverage,dir_margin,margin_score,density_factor,skeleton_overlap,actual_pair_density,target_pair_density,global_asymmetry,asymmetry_score,high_conf_edges,k,guardrail_pass,guardrail_reason,guardrail_density_ratio,guardrail_required_skeleton_overlap,guardrail_peak_skeleton_overlap,adj_offdiag_mean,adj_offdiag_std,adj_offdiag_cv,adj_offdiag_min,adj_offdiag_max,adj_in_degree_mean,adj_in_degree_std,cross_source_mean_cos,cross_source_p90_cos,cross_source_gt_0p7_frac,cross_pred_mean_cos,cross_pred_p90_cos,cross_pred_gt_0p7_frac,cross_target_mean_cos,cross_target_p90_cos,cross_target_gt_0p7_frac,cross_pred_target_diag_mean,cross_pred_target_offdiag_mean,cross_pred_target_diag_gap,cross_agg_max_mean,cross_agg_max_p90,cross_agg_eff_parents_mean
1,0.294842,0,0.000000,0.200000,0.000000,0.600000,0.016789,0.067057,0.000000,0.800000,0.000000,0.500000,0.014396,0.095678,3,5,0,before_selection_start,0.000000,0.500000,0.000000,0.231394,0.010053,0.043444,0.215201,0.254357,0.925577,0.023562,0.147842,0.306159,0.000000,0.853058,0.888509,1.000000,0.172310,0.309161,0.000000,-0.106022,-0.136215,0.030193,0.259772,0.265139,3.992063
2,0.296314,0,0.000000,0.200000,0.000000,0.600000,0.018977,0.075763,0.000000,0.800000,0.000000,0.500000,0.014898,0.098998,3,5,0,before_selection_start,0.000000,0.500000,0.000000,0.220545,0.010411,0.047207,0.206344,0.244834,0.882181,0.027039,0.147842,0.306159,0.000000,0.853341,0.887830,1.000000,0.172310,0.309161,0.000000,-0.105997,-0.136239,0.030242,0.260349,0.265673,3.991992
3,0.297630,0,0.000000,0.200000,0.000000,0.600000,0.020997,0.083793,0.000000,0.800000,0.000000,0.500000,0.015235,0.101221,3,5,0,before_selection_start,0.000000,0.500000,0.000000,0.206809,0.010799,0.052217,0.192612,0.232565,0.827234,0.030339,0.147842,0.306159,0.000000,0.853620,0.887479,1.000000,0.172310,0.309161,0.000000,-0.106024,-0.136260,0.030236,0.261287,0.266096,3.991748
4,0.298322,0,0.000000,0.200000,0.000000,0.600000,0.022256,0.088790,0.000000,0.800000,0.000000,0.500000,0.015061,0.100072,3,5,0,before_selection_start,0.000000,0.500000,0.000000,0.196539,0.011036,0.056154,0.182651,0.223255,0.786158,0.031902,0.147842,0.306159,0.000000,0.853864,0.887296,1.000000,0.172310,0.309161,0.000000,-0.106018,-0.136307,0.030289,0.262272,0.266796,3.991249
