0.00000000,0.02170429,0.10632810,0.17033613,0.01073087,0.18338798,0.19984894,0.11327902,0.19047803,0.20403479,0.17316127,0.22014625,0.08187108,0.15548427,0.12507388
0.76582181,0.00000000,0.20947874,0.18664625,0.13289751,0.20997244,0.20324562,0.13914810,0.17648084,0.16715643,0.18928553,0.17287301,0.08369750,0.17513151,0.15432025
0.34750891,0.20220205,0.00000000,0.27782559,0.12223420,0.20700206,0.22881638,0.05907544,0.14278944,0.18078023,0.17435613,0.19574292,0.02329267,0.20141420,0.12653378
0.18410181,0.17775556,0.13685532,0.00000000,0.04668925,0.16471609,0.18700190,0.10287611,0.13745375,0.14414936,0.20530683,0.17212699,0.06425010,0.17361109,0.15100206
0.87340927,0.30874708,0.33362016,0.52620417,0.00000000,0.31255168,0.23287699,0.16243148,0.21315441,0.21648821,0.23306361,0.20325848,0.15232232,0.20055933,0.18993565
0.18160698,0.18644145,0.20551887,0.21101539,0.12510757,0.00000000,0.00926539,0.03561551,0.10034522,0.00626363,0.19400433,0.24032705,0.08685899,0.19045898,0.14259459
0.16250339,0.19691601,0.19720426,0.18403159,0.16245551,0.89026165,0.00000000,0.04035120,0.13926461,0.12464606,0.15598036,0.18003179,0.08276157,0.20829149,0.15787710
0.25361311,0.24194755,0.50520021,0.26711905,0.18463323,0.60920817,0.56538624,0.00000000,0.36552185,0.22169469,0.17935987,0.16184179,0.12874566,0.37006611,0.16868486
0.16410246,0.20518839,0.30418426,0.23316109,0.15904827,0.36815435,0.29018402,0.09404308,0.00000000,0.15832306,0.19464956,0.17217711,0.10451103,0.23890032,0.17091250
0.17772345,0.22358446,0.20705137,0.22761528,0.18864289,0.92558968,0.31403270,0.15701181,0.22920513,0.00000000,0.22945046,0.22939053,0.14430596,0.22913766,0.18123791
0.16739979,0.18036978,0.20944326,0.14695910,0.14967379,0.18251765,0.23723079,0.18735309,0.18563099,0.15091911,0.00000000,0.01622122,0.05780958,0.14405996,0.00624135
0.14855675,0.19689952,0.20789747,0.17813416,0.17155866,0.15329103,0.19607678,0.20708324,0.20956708,0.17051746,0.82014853,0.00000000,0.04360581,0.19813463,0.12036604
0.32762587,0.33414850,0.73892874,0.41335821,0.20531903,0.38628119,0.36046663,0.23921113,0.32520804,0.19844015,0.42987353,0.55410177,0.00000000,0.68438721,0.25339174
0.20299536,0.21169241,0.24220166,0.19644791,0.18107662,0.24452700,0.20308901,0.09297264,0.17464070,0.17269993,0.26476818,0.21618192,0.02842927,0.00000000,0.06856303
0.24343482,0.23970936,0.28379887,0.21134587,0.19520736,0.28215793,0.24977846,0.17770052,0.21594878,0.20730774,0.92826033,0.32058674,0.12867743,0.43496126,0.00000000
