0.00000000,0.04725408,0.01638944,0.01536599,0.01135758,0.01989351,0.01757158,0.02096606,0.01669857,0.01537010,0.01892723,0.01648730,0.04006558,0.02299934,0.01802559,0.01565917,0.02070159,0.00904973,0.01685802,0.03078769,0.01123665,0.02904099,0.02080281,0.00858258,0.02188974,0.01228902,0.01922889,0.03146193,0.01790832,0.01969921,0.01799156,0.01988089,0.07416825,0.02824411,0.01392792,0.02104089,0.02367397,0.02065509,0.02288427,0.00458836,0.01623062,0.01601826,0.02207297,0.01802734,0.03241845,0.01304372,0.02026018,0.01786886,0.01596620,0.01504314
0.00717185,0.00000000,0.00590573,0.00482171,0.00624342,0.01570529,0.01933941,0.13324402,0.01141939,0.02390248,0.01242139,0.01968446,0.07905326,0.02049323,0.02202833,0.01569390,0.01396978,0.00583223,0.01789290,0.06062745,0.01600716,0.01091526,0.02487306,0.01719462,0.01761600,0.01267149,0.02061253,0.04728989,0.01568453,0.01804094,0.01458600,0.01859576,0.02575868,0.01889639,0.00951841,0.01223896,0.01935873,0.01806976,0.01674218,0.02390171,0.02012810,0.01091883,0.01881219,0.01818522,0.03824246,0.01598749,0.01761399,0.00830036,0.01600572,0.00849711
0.02014456,0.05280996,0.00000000,0.00752381,0.01654795,0.01989789,0.02368336,0.69238120,0.01286990,0.06580863,0.02749841,0.02510954,0.29731384,0.04110303,0.03547842,0.01782869,0.01692636,0.05380757,0.02250171,0.10474138,0.01653057,0.01536625,0.74580681,0.05735712,0.03699581,0.00857079,0.03261296,0.74724609,0.02936005,0.02240906,0.01879879,0.04092942,0.09350055,0.01844599,0.03707970,0.02249632,0.02363352,0.02249843,0.03283101,0.11907128,0.01775928,0.01464775,0.06705303,0.01664378,0.09814989,0.00611198,0.00957573,0.06215574,0.08881113,0.01224062
0.02123544,0.05857481,0.03966306,0.00000000,0.03158033,0.01569496,0.04409928,0.19941865,0.01857628,0.07019010,0.01733770,0.02358280,0.07478299,0.01568767,0.02179462,0.01884955,0.01755603,0.02187201,0.02348884,0.03677126,0.01728138,0.07546347,0.10744083,0.01472234,0.04656592,0.01758315,0.06321432,0.20900211,0.02596755,0.04484331,0.01494763,0.02497058,0.10584050,0.02373921,0.02533069,0.01258021,0.01851112,0.02991245,0.03709235,0.01442235,0.01610992,0.01802166,0.05692720,0.01860908,0.02264297,0.00678963,0.01689413,0.00510956,0.04456060,0.02211790
0.02846166,0.04987863,0.01914851,0.01056268,0.00000000,0.01879615,0.04837163,0.03016532,0.01640596,0.03379977,0.02020212,0.02724980,0.19367303,0.04254647,0.01914909,0.01824656,0.01475055,0.02830217,0.01889575,0.06002638,0.01435483,0.07793601,0.12089279,0.02436814,0.04463207,0.01573038,0.02932777,0.03166263,0.01990998,0.01931697,0.01688327,0.01663306,0.01762778,0.00911022,0.02272685,0.01649411,0.02363759,0.03908030,0.01327597,0.00877455,0.01824277,0.01849458,0.04630231,0.01739559,0.02065376,0.03380348,0.02929816,0.09652448,0.05569189,0.05058143
0.01660036,0.02086994,0.01736609,0.02133151,0.01665254,0.00000000,0.13023509,0.12441499,0.01767625,0.21417750,0.01632201,0.01359741,0.05182932,0.01991870,0.03742257,0.02170208,0.01254450,0.01350672,0.01781157,0.01613665,0.00406327,0.06139769,0.00986039,0.02043708,0.02155152,0.00840625,0.02104297,0.03502951,0.01879090,0.01874267,0.01873543,0.01988191,0.05516992,0.02202646,0.00762158,0.01975355,0.01954064,0.01871057,0.02194204,0.02755735,0.01202192,0.01865356,0.01037069,0.02150486,0.04930946,0.04313431,0.01565576,0.05479488,0.03549272,0.01645832
0.02010850,0.01740774,0.01589078,0.00699765,0.00713563,0.00247262,0.00000000,0.18688723,0.00370459,0.02200382,0.01765652,0.03271165,0.02798680,0.01376827,0.01813657,0.06941293,0.02062180,0.01887940,0.01783691,0.01122553,0.00418449,0.03322390,0.01648552,0.01731800,0.01525356,0.04851139,0.01765502,0.02854561,0.01201815,0.01291646,0.01859079,0.01631050,0.01383779,0.01925450,0.02075483,0.00477250,0.02235210,0.02204580,0.01717966,0.01513739,0.02384389,0.03591655,0.01592845,0.03885929,0.02303629,0.01824121,0.01494331,0.02096466,0.02071313,0.02099546
0.01513243,0.00247262,0.00247262,0.00247262,0.01293651,0.00247262,0.00247262,0.00000000,0.00247262,0.00255403,0.07206035,0.09078623,0.00980732,0.00278695,0.00409469,0.02129022,0.02126170,0.01133875,0.00247262,0.01525838,0.01620808,0.01469159,0.01586624,0.02633339,0.00940724,0.01183985,0.03203398,0.01171951,0.01364541,0.04907523,0.00537500,0.01706817,0.01743370,0.01166069,0.01323373,0.01211528,0.01583484,0.01822850,0.03553011,0.01525765,0.04729307,0.00569479,0.03475199,0.05158193,0.01285478,0.02275623,0.03422727,0.01553991,0.01249368,0.01305700
0.02149066,0.03041057,0.02203958,0.01829420,0.01992513,0.02038030,0.07505622,0.46313271,0.00000000,0.35903692,0.01912319,0.02145148,0.16482627,0.03527409,0.04965710,0.01776101,0.01876120,0.02475465,0.02382209,0.02195405,0.02461504,0.00800209,0.09139334,0.03321073,0.02858925,0.02051915,0.00989394,0.08120630,0.02325278,0.01984247,0.02446488,0.03024945,0.04117285,0.02217083,0.01086753,0.01352346,0.01841307,0.01707787,0.01680321,0.06347193,0.01736758,0.01917295,0.05224050,0.01725633,0.04837322,0.00902030,0.00820604,0.00640546,0.08059319,0.05106442
0.02372947,0.01453371,0.00556210,0.00407161,0.01009349,0.00247262,0.01637841,0.09966019,0.00247262,0.00000000,0.05213925,0.01557673,0.03211499,0.01582943,0.01571262,0.01622920,0.01971377,0.01997237,0.01804322,0.01375573,0.01104022,0.01906226,0.02735750,0.01777018,0.01139107,0.02340684,0.01802593,0.02486144,0.02040530,0.02485282,0.01312408,0.01587564,0.02446155,0.01871537,0.01882925,0.00570593,0.01103493,0.01868000,0.01876896,0.03541654,0.03669665,0.02260335,0.02044410,0.02280748,0.02254108,0.01845037,0.02718822,0.01972823,0.02013309,0.01915129
0.01634646,0.02169289,0.01069541,0.01560284,0.01496924,0.01895262,0.01764141,0.00457006,0.01539779,0.00649262,0.00000000,0.41565928,0.11484893,0.01813907,0.43932560,0.01260987,0.01046271,0.01492926,0.01812157,0.00695816,0.02021316,0.06279843,0.01501037,0.02799264,0.06727475,0.01809567,0.01698089,0.01139084,0.02517660,0.04294075,0.00805863,0.02342566,0.00247262,0.01944852,0.00247262,0.01694308,0.06521343,0.04392093,0.02046816,0.09517490,0.01145828,0.02159185,0.01488544,0.01683277,0.01135108,0.01553358,0.01332895,0.01286084,0.00296817,0.00820622
0.02266930,0.01690506,0.01180522,0.01438394,0.01357696,0.02383772,0.00983890,0.00303507,0.01566775,0.02234246,0.00247262,0.00000000,0.43076265,0.01728620,0.03668063,0.01469686,0.01375190,0.04810574,0.01365194,0.01427597,0.02437723,0.01484265,0.03104898,0.02206315,0.01975113,0.00436312,0.02091055,0.01748528,0.01921753,0.01689772,0.01760162,0.01515479,0.01574935,0.01385647,0.02804955,0.00659804,0.01619877,0.01756521,0.01698845,0.03358468,0.02780432,0.00953844,0.03652829,0.01789268,0.02121656,0.02077096,0.01442765,0.01470921,0.01745335,0.01133031
0.00850772,0.00403844,0.00247262,0.00444973,0.00247262,0.00623497,0.01075292,0.03129561,0.00247262,0.01030895,0.00247262,0.00247262,0.00000000,0.00247262,0.00660326,0.04198243,0.02087181,0.00698572,0.00247262,0.01472495,0.02937969,0.01642716,0.01230633,0.01547492,0.01926892,0.01522825,0.01393757,0.01675369,0.01318942,0.01806420,0.01143875,0.02829099,0.01774638,0.02348769,0.01448792,0.01947857,0.00434381,0.01599892,0.01974676,0.01692933,0.01917107,0.00868363,0.01664948,0.01122377,0.01715646,0.01496004,0.01387408,0.01297599,0.01771616,0.01981449
