0.8982,0.2673,0.0829,0.1766,0.4231,0.0211,0.0200,0.0340,0.0400,0.0327
0.2997,0.8750,0.1742,0.2897,0.3889,0.0165,0.0173,0.0448,0.0439,0.0298
0.0926,0.1995,0.8944,0.7061,0.4470,0.0159,0.0212,0.1005,0.0705,0.0348
0.1080,0.1518,0.2816,0.9723,0.5773,0.0151,0.0206,0.0617,0.0542,0.0322
0.1934,0.1752,0.1438,0.5316,0.9606,0.0147,0.0213,0.0549,0.0492,0.0327
0.0147,0.0314,0.1184,0.0914,0.0375,0.4391,0.3219,0.1316,0.0547,0.0651
0.0125,0.0289,0.1486,0.1104,0.0396,0.1266,0.7268,0.1842,0.0540,0.0395
0.0143,0.0328,0.3443,0.3478,0.1019,0.0287,0.0749,0.7499,0.1152,0.0368
0.0172,0.0337,0.1896,0.2040,0.0848,0.0340,0.0753,0.1891,0.6605,0.0942
0.0150,0.0308,0.1332,0.1144,0.0523,0.0784,0.1017,0.1534,0.1420,0.3795
