variant,seed,runtime_sec,final_loss,mean_last5_loss,normalized_auc,offdiag_mean,offdiag_sparsity_ratio,adj_asymmetry
full_encoder,42,26.532706260681152,8.045667027545277e-07,8.060835356786811e-07,0.000597138193830934,0.2119557112455368,1.0,0.009422186762094498
full_encoder,43,26.580204010009766,7.771694694724829e-07,9.571561099050994e-07,0.0006190059806983611,0.20960628986358643,1.0,0.007555844262242317
full_encoder,44,26.285442352294922,4.945716588622417e-07,6.05894350400149e-07,0.0007807649095576325,0.20910978317260742,1.0,0.005783501081168652
no_temporal_stack,42,19.5639431476593,8.259286251188769e-07,9.137876166676052e-07,0.0011707883569674281,0.21707546710968018,1.0,0.009094854816794395
no_temporal_stack,43,20.73115873336792,5.47293295056761e-07,7.811712116847502e-07,0.001258125230772438,0.21949836611747742,1.0,0.012476688250899315
no_temporal_stack,44,20.67206358909607,7.029787612111704e-07,7.160986632612777e-07,0.0012474359855312069,0.22476547956466675,1.0,0.01503322646021843
reduced_receptive_field,42,24.04721760749817,1.547408091937541e-06,1.6459037716458624e-06,0.0010964687080708586,0.2208503633737564,1.0,0.013771851547062397
reduced_receptive_field,43,22.799391984939575,1.0479176933131384e-06,1.10015889913484e-06,0.0010692594846121893,0.213937908411026,1.0,0.009027654305100441
reduced_receptive_field,44,22.999603748321533,9.922932161998688e-07,1.2048001000266595e-06,0.0008219559566717959,0.22826677560806274,1.0,0.018112434074282646
