0.9988,0.3115,0.0567,-0.0819,0.2707,0.0097,0.0417,-0.0565,-0.0141,-0.0074,-0.0192,-0.0097,-0.0015,-0.0217,0.0085
0.3115,0.9988,0.2601,0.0250,0.1978,-0.0093,-0.0096,0.1212,0.1084,0.0003,0.0258,0.0203,0.1514,0.1249,0.0346
0.0567,0.2601,0.9987,0.2613,0.1333,-0.0869,-0.0663,0.2850,0.1774,0.0346,-0.0458,0.0126,0.4137,0.2596,0.1372
-0.0819,0.0250,0.2613,0.9988,0.2229,-0.0626,-0.0343,-0.0020,-0.0066,-0.0170,-0.0339,-0.0574,0.1278,-0.0167,-0.0854
0.2707,0.1978,0.1333,0.2229,0.9987,-0.0782,0.0503,0.0378,0.0247,-0.0415,0.0407,0.0076,0.0800,-0.0106,-0.0104
0.0097,-0.0093,-0.0869,-0.0626,-0.0782,0.9987,0.3506,0.0849,0.0700,0.2683,-0.0207,-0.0505,0.0444,0.0234,0.0318
0.0417,-0.0096,-0.0663,-0.0343,0.0503,0.3506,0.9987,0.2805,0.1562,0.1765,0.0131,-0.0141,0.0977,0.0320,0.0948
-0.0565,0.1212,0.2850,-0.0020,0.0378,0.0849,0.2805,0.9988,0.4749,0.1955,0.0456,-0.0069,0.4267,0.1988,0.1421
-0.0141,0.1084,0.1774,-0.0066,0.0247,0.0700,0.1562,0.4749,0.9987,0.3139,-0.0045,-0.0461,0.2616,0.0884,0.1023
-0.0074,0.0003,0.0346,-0.0170,-0.0415,0.2683,0.1765,0.1955,0.3139,0.9988,-0.0040,-0.0254,0.0903,0.0031,-0.0476
-0.0192,0.0258,-0.0458,-0.0339,0.0407,-0.0207,0.0131,0.0456,-0.0045,-0.0040,0.9988,0.3008,0.1403,0.0827,0.2609
-0.0097,0.0203,0.0126,-0.0574,0.0076,-0.0505,-0.0141,-0.0069,-0.0461,-0.0254,0.3008,0.9988,0.2576,0.1474,0.2107
-0.0015,0.1514,0.4137,0.1278,0.0800,0.0444,0.0977,0.4267,0.2616,0.0903,0.1403,0.2576,0.9988,0.3946,0.2441
-0.0217,0.1249,0.2596,-0.0167,-0.0106,0.0234,0.0320,0.1988,0.0884,0.0031,0.0827,0.1474,0.3946,0.9987,0.4240
0.0085,0.0346,0.1372,-0.0854,-0.0104,0.0318,0.0948,0.1421,0.1023,-0.0476,0.2609,0.2107,0.2441,0.4240,0.9987
