epoch,score,selection_eligible,score_mode,agreement,agreement_score,agreement_soft_score,agreement_mode,effective_agreement_score,agreement_weight,agreement_coverage,dir_margin,margin_score,density_factor,skeleton_overlap,actual_pair_density,target_pair_density,fixed_support_mask_active,global_asymmetry,asymmetry_score,causal_lag_reverse_minus_forward,score_legacy_total,score_term_legacy_skeleton,score_term_legacy_agreement,score_term_legacy_density,score_term_legacy_margin,score_term_legacy_asymmetry,score_composite_total,score_term_composite_soft_agreement,score_term_composite_causal_lag,score_term_composite_margin_penalty,score_entropy_composite_total,score_term_entropy_composite_soft_agreement,score_term_entropy_composite_causal_lag_mean,score_term_entropy_composite_causal_lag_std_penalty,score_term_entropy_composite_parent_entropy_penalty,score_term_entropy_composite_margin_penalty,composite_soft_agreement_weight,composite_causal_lag_weight,composite_margin_penalty_weight,composite_causal_lag_std_penalty_weight,composite_parent_entropy_penalty_weight,score_primary_total,score_term_primary_causal_lag,score_term_primary_soft_tiebreak,score_term_primary_skeleton_tiebreak,score_term_primary_density_tiebreak,primary_causal_lag_weight,primary_soft_tiebreak_weight,primary_skeleton_tiebreak_weight,primary_density_tiebreak_weight,selection_causal_lag_delta_mean,selection_causal_lag_delta_std,selection_parent_entropy_mean,high_conf_edges,k,guardrail_pass,guardrail_reason,guardrail_density_ratio,guardrail_required_skeleton_overlap,guardrail_peak_skeleton_overlap,adj_offdiag_mean,adj_offdiag_std,adj_offdiag_cv,adj_offdiag_min,adj_offdiag_max,adj_in_degree_mean,adj_in_degree_std,adj_parent_entropy_mean,adj_eff_parents_mean,adj_eff_parents_p90,adj_ungated_asym_mean,adj_ungated_asym_median,adj_ungated_asym_p90,dir_active_pair_frac,dir_prior_q_threshold,dir_active_reliability_mean,dir_active_reliability_median,dir_active_reliability_p10,dir_active_abs_margin_mean,dir_active_abs_margin_median,dir_active_abs_margin_p90,dir_active_abs_margin_near0_frac,dir_active_signed_raw_mean,dir_active_signed_raw_median,dir_active_signed_raw_p10,dir_active_signed_raw_frac_pos,dir_active_signed_gate_mean,dir_active_signed_gate_median,dir_active_signed_gate_p10,dir_active_signed_gate_frac_pos,noise_probe_available,noise_probe_timestep,noise_probe_patel_loss,noise_probe_blend50_loss,noise_probe_learned_loss,noise_probe_delta_blend50_minus_patel,noise_probe_delta_learned_minus_patel,noise_probe_ratio_blend50_over_patel,noise_probe_ratio_learned_over_patel,noise_probe_guide_l1_mean,msg_dir_mode_is_causal,msg_dir_raw_diag_mean,msg_dir_raw_offdiag_mean,msg_dir_raw_diag_gap,msg_dir_causal_diag_mean,msg_dir_causal_offdiag_mean,msg_dir_causal_diag_gap,msg_dir_active_diag_gap,msg_dir_gap_delta_causal_minus_raw,msg_dir_prefers_causal,directional_kappa_gate_enabled,directional_kappa_gate_quantile,directional_kappa_gate_threshold,directional_kappa_gate_pair_frac,main_loss_weight,training_noise_guide_mode,training_noise_guide_active,training_noise_guide_blend_weight,training_noise_guide_blend_target,training_noise_guide_warmup_epochs,training_noise_guide_ramp_epochs,training_noise_guide_guide_l1_mean,directional_loss_active,directional_loss_end_epoch,directional_loss_deactivated_from_epoch,dir_loss_raw,dir_loss_weighted,dir_lambda_current,direction_lr_multiplier,direction_lr_current,direction_branch_frozen,freeze_direction_after_epoch,direction_branch_frozen_from_epoch,gradient_routing_mode,gradient_routing_label,routing_main_updates_support,routing_main_updates_direction,routing_structure_updates_support,routing_structure_updates_direction,routing_causal_lag_updates_support,routing_causal_lag_updates_direction,detach_direction_from_main_active,detach_direction_from_main_after_epoch,direction_from_main_detached_from_epoch,causal_lag_main_raw,causal_lag_main_weight,causal_lag_main_weighted,ortho_loss_raw,ortho_loss_weighted,parent_entropy_raw,parent_entropy_weighted,parent_entropy_lambda_current,parent_cap_raw,parent_cap_weighted,parent_cap_lambda_current,parent_cap_target,ungated_symmetry_raw,ungated_symmetry_weighted,ungated_symmetry_lambda_current,gradient_alignment_probe_enabled,gradient_alignment_probe_seed,selector_audit_enabled,grad_probe_available,grad_probe_lambda_dir,grad_probe_diff_norm,grad_probe_dir_norm_raw,grad_probe_dir_norm_weighted,grad_probe_dir_to_diff_norm_ratio,grad_probe_cosine,grad_probe_cosine_negative,causal_lag_diag_available,causal_lag_diag_forward_loss,causal_lag_diag_reverse_loss,causal_lag_diag_reverse_minus_forward,causal_lag_diag_forward_over_reverse,causal_lag_diag_prefers_forward,causal_lag_diag_num_lags,selection_causal_lag_subject_count,selection_causal_lag_forward_mean,selection_causal_lag_forward_std,selection_causal_lag_reverse_mean,selection_causal_lag_reverse_std,selection_causal_lag_delta_min,selection_causal_lag_delta_max,selection_causal_lag_prefers_forward_frac,selection_causal_lag_num_lags,selector_audit_precision,selector_audit_recall,selector_audit_f1,selector_audit_tie_count,selector_audit_margin_mean,selector_audit_margin_median,selector_audit_margin_std,selector_audit_margin_p90,selector_audit_margin_max,selector_audit_margin_lt_1e3_frac,selector_audit_margin_lt_1e2_frac,selector_audit_gt_signed_margin_mean,selector_audit_gt_signed_margin_median,selector_audit_gt_signed_margin_p10,selector_audit_gt_signed_margin_p90,selector_audit_gt_signed_margin_frac_pos,selector_audit_failure_mode,selector_audit_strict_precision_eps_0,selector_audit_strict_recall_eps_0,selector_audit_strict_f1_eps_0,selector_audit_strict_pred_count_eps_0,selector_audit_strict_precision_eps_0p0003,selector_audit_strict_recall_eps_0p0003,selector_audit_strict_f1_eps_0p0003,selector_audit_strict_pred_count_eps_0p0003,selector_audit_strict_precision_eps_0p1,selector_audit_strict_recall_eps_0p1,selector_audit_strict_f1_eps_0p1,selector_audit_strict_pred_count_eps_0p1
1,0.843881,0,legacy,0.727273,0.611111,0.686681,hard_coverage,0.611111,0.250000,0.488889,0.245713,0.754298,0.907990,1.000000,0.644444,1.000000,0,0.245713,0.927205,0.000000,0.843881,0.350000,0.152778,0.181598,0.113145,0.046360,0.125051,0.137336,0.000000,0.012286,0.125051,0.137336,0.000000,0.000000,0.000000,0.012286,0.200000,1.000000,0.050000,0.000000,0.000000,0.034334,0.000000,0.009334,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.968124,22,45,0,before_selection_start,0.644444,0.500000,0.000000,0.468925,0.185062,0.394651,0.027839,0.969680,4.220323,0.945622,0.968124,8.401864,8.811699,0.000000,0.000000,0.000000,0.440000,0.000847,0.391727,0.385148,0.346923,1.217795,0.408293,3.219324,0.000000,0.891792,0.148871,-0.338140,0.727273,0.233956,0.074296,-0.167477,0.727273,1.000000,500.000000,1.646560,2.173067,1.681986,0.526507,0.035426,1.319762,1.021515,0.031794,0.000000,0.375677,0.443585,-0.067908,0.371980,0.439358,-0.067378,-0.067908,0.000530,1.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.673742,0.000000,0.000000,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.098595,0.000000,0.968124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.200000,0.818182,0.321429,0.000000,0.245713,0.123071,0.275583,0.702678,0.941841,0.000000,0.088889,0.472817,0.628694,-0.007129,0.908520,0.818182,mixed_or_partial,0.200000,0.818182,0.321429,45.000000,0.200000,0.818182,0.321429,45.000000,0.375000,0.818182,0.514286,24.000000
2,0.822301,0,legacy,0.727273,0.611111,0.694794,hard_coverage,0.611111,0.250000,0.488889,0.246872,0.756289,0.798330,1.000000,0.511111,1.000000,0,0.246872,0.928281,0.000000,0.822301,0.350000,0.152778,0.159666,0.113443,0.046414,0.126615,0.138959,0.000000,0.012344,0.126615,0.138959,0.000000,0.000000,0.000000,0.012344,0.200000,1.000000,0.050000,0.000000,0.000000,0.034740,0.000000,0.009740,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.966927,22,45,0,before_selection_start,0.511111,0.500000,0.000000,0.454335,0.185661,0.408643,0.026340,0.969477,4.089013,0.956228,0.966927,8.379250,8.797784,0.000000,0.000000,0.000000,0.440000,0.000847,0.391727,0.385148,0.346923,1.218923,0.406682,3.215153,0.000000,0.884492,0.109329,-0.348469,0.727273,0.230745,0.054606,-0.172493,0.727273,1.000000,500.000000,0.426605,0.290250,0.325559,-0.136355,-0.101046,0.680373,0.763140,0.032978,0.000000,0.519263,0.594756,-0.075492,0.507144,0.590611,-0.083466,-0.075492,-0.007974,0.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.679808,0.000000,0.000000,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.096172,0.000000,0.966927,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.200000,0.818182,0.321429,0.000000,0.246872,0.114646,0.274863,0.706064,0.943137,0.000000,0.066667,0.472759,0.631543,-0.011260,0.908616,0.818182,mixed_or_partial,0.200000,0.818182,0.321429,45.000000,0.200000,0.818182,0.321429,45.000000,0.360000,0.818182,0.500000,25.000000
3,0.816981,0,legacy,0.681818,0.588889,0.671228,hard_coverage,0.588889,0.250000,0.488889,0.247651,0.757619,0.798330,1.000000,0.511111,1.000000,0,0.247651,0.928995,0.000000,0.816981,0.350000,0.147222,0.159666,0.113643,0.046450,0.121863,0.134246,0.000000,0.012383,0.121863,0.134246,0.000000,0.000000,0.000000,0.012383,0.200000,1.000000,0.050000,0.000000,0.000000,0.033561,0.000000,0.008561,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.966313,22,45,0,before_selection_start,0.511111,0.500000,0.000000,0.447004,0.185907,0.415896,0.025516,0.969413,4.023036,0.961843,0.966313,8.367689,8.786825,0.000000,0.000000,0.000000,0.440000,0.000847,0.391727,0.385148,0.346923,1.219224,0.406184,3.207226,0.000000,0.879761,0.103970,-0.348055,0.681818,0.229050,0.051938,-0.172292,0.681818,1.000000,500.000000,0.149215,0.137076,0.166023,-0.012139,0.016807,0.918647,1.112637,0.033592,0.000000,0.557027,0.626573,-0.069546,0.546395,0.623230,-0.076835,-0.069546,-0.007288,0.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.682542,0.000000,0.000000,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.094736,0.000000,0.966313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.200000,0.818182,0.321429,0.000000,0.247651,0.112754,0.274006,0.706954,0.943897,0.000000,0.044444,0.472651,0.632555,-0.011235,0.908349,0.818182,mixed_or_partial,0.200000,0.818182,0.321429,45.000000,0.200000,0.818182,0.321429,45.000000,0.360000,0.818182,0.500000,25.000000
4,0.812290,0,legacy,0.681818,0.588889,0.671228,hard_coverage,0.588889,0.250000,0.488889,0.248167,0.758497,0.774099,1.000000,0.488889,1.000000,0,0.248167,0.929465,0.000000,0.812290,0.350000,0.147222,0.154820,0.113775,0.046473,0.121837,0.134246,0.000000,0.012408,0.121837,0.134246,0.000000,0.000000,0.000000,0.012408,0.200000,1.000000,0.050000,0.000000,0.000000,0.033561,0.000000,0.008561,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.965897,22,45,0,before_selection_start,0.488889,0.500000,0.000000,0.442180,0.186055,0.420769,0.024976,0.969313,3.979620,0.965540,0.965897,8.359896,8.779828,0.000000,0.000000,0.000000,0.440000,0.000847,0.391727,0.385148,0.346923,1.220280,0.409459,3.199798,0.000000,0.876553,0.101160,-0.344332,0.681818,0.227995,0.050536,-0.170485,0.681818,1.000000,500.000000,0.116239,0.127377,0.122312,0.011139,0.006074,1.095827,1.052252,0.034011,0.000000,0.580367,0.644918,-0.064552,0.571726,0.642578,-0.070852,-0.064552,-0.006301,0.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.684193,0.000000,0.000000,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.093700,0.000000,0.965897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.200000,0.818182,0.321429,0.000000,0.248167,0.111676,0.273345,0.707503,0.944337,0.000000,0.044444,0.472537,0.633473,-0.010343,0.907892,0.818182,mixed_or_partial,0.200000,0.818182,0.321429,45.000000,0.200000,0.818182,0.321429,45.000000,0.360000,0.818182,0.500000,25.000000
5,0.812393,0,legacy,0.681818,0.588889,0.671228,hard_coverage,0.588889,0.250000,0.488889,0.248512,0.759083,0.774099,1.000000,0.488889,1.000000,0,0.248512,0.929778,0.000000,0.812393,0.350000,0.147222,0.154820,0.113862,0.046489,0.121820,0.134246,0.000000,0.012426,0.121820,0.134246,0.000000,0.000000,0.000000,0.012426,0.200000,1.000000,0.050000,0.000000,0.000000,0.033561,0.000000,0.008561,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.965570,22,45,0,before_selection_start,0.488889,0.500000,0.000000,0.438476,0.186153,0.424545,0.024569,0.969221,3.946285,0.968343,0.965570,8.353780,8.774352,0.000000,0.000000,0.000000,0.440000,0.000847,0.391727,0.385148,0.346923,1.221360,0.413817,3.191555,0.000000,0.873614,0.098636,-0.339306,0.681818,0.227088,0.049276,-0.168044,0.681818,1.000000,500.000000,0.055083,0.049578,0.043395,-0.005504,-0.011688,0.900074,0.787816,0.034335,0.000000,0.596097,0.655765,-0.059668,0.588802,0.654288,-0.065487,-0.059668,-0.005819,0.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.685671,0.000000,0.000000,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.092886,0.000000,0.965570,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.200000,0.818182,0.321429,0.000000,0.248512,0.114320,0.272797,0.707939,0.944652,0.000000,0.066667,0.472446,0.634347,-0.009486,0.907340,0.818182,mixed_or_partial,0.200000,0.818182,0.321429,45.000000,0.200000,0.818182,0.321429,45.000000,0.346154,0.818182,0.486486,26.000000
6,0.812466,1,legacy,0.681818,0.588889,0.671228,hard_coverage,0.588889,0.250000,0.488889,0.248754,0.759494,0.774099,1.000000,0.488889,1.000000,0,0.248754,0.929996,0.000000,0.812466,0.350000,0.147222,0.154820,0.113924,0.046500,0.121808,0.134246,0.000000,0.012438,0.121808,0.134246,0.000000,0.000000,0.000000,0.012438,0.200000,1.000000,0.050000,0.000000,0.000000,0.033561,0.000000,0.008561,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.965294,22,45,1,pass,0.488889,0.500000,0.000000,0.435408,0.186227,0.427706,0.024243,0.969090,3.918668,0.970559,0.965294,8.348617,8.769772,0.000000,0.000000,0.000000,0.440000,0.000847,0.391727,0.385148,0.346923,1.222171,0.417628,3.183753,0.000000,0.871176,0.097030,-0.334587,0.681818,0.226376,0.048473,-0.165750,0.681818,1.000000,500.000000,0.039145,0.040419,0.063277,0.001274,0.024132,1.032539,1.616475,0.034607,0.000000,0.610009,0.664495,-0.054486,0.604292,0.663681,-0.059388,-0.054486,-0.004902,0.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.686840,0.000056,0.000107,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.092189,0.000028,0.965294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.200000,0.818182,0.321429,0.000000,0.248754,0.116464,0.272349,0.708399,0.944847,0.000000,0.088889,0.472367,0.635221,-0.008552,0.906713,0.818182,mixed_or_partial,0.200000,0.818182,0.321429,45.000000,0.200000,0.818182,0.321429,45.000000,0.346154,0.818182,0.486486,26.000000
7,0.812516,1,legacy,0.681818,0.588889,0.671228,hard_coverage,0.588889,0.250000,0.488889,0.248923,0.759779,0.774099,1.000000,0.488889,1.000000,0,0.248923,0.930148,0.000000,0.812516,0.350000,0.147222,0.154820,0.113967,0.046507,0.121799,0.134246,0.000000,0.012446,0.121799,0.134246,0.000000,0.000000,0.000000,0.012446,0.200000,1.000000,0.050000,0.000000,0.000000,0.033561,0.000000,0.008561,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.965075,22,45,1,pass,0.488889,0.850000,1.000000,0.432938,0.186279,0.430267,0.023998,0.968952,3.896441,0.972417,0.965075,8.344516,8.766418,0.000000,0.000000,0.000000,0.440000,0.000847,0.391727,0.385148,0.346923,1.222803,0.421132,3.176442,0.000000,0.869335,0.096337,-0.330068,0.681818,0.225908,0.048126,-0.163552,0.681818,1.000000,500.000000,0.031578,0.024817,0.024325,-0.006761,-0.007253,0.785893,0.770312,0.034828,0.000000,0.625962,0.676123,-0.050161,0.620703,0.675645,-0.054942,-0.050161,-0.004781,0.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.687580,0.000116,0.000156,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.091625,0.000058,0.965075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.200000,0.818182,0.321429,0.000000,0.248923,0.117858,0.271976,0.708765,0.944954,0.000000,0.088889,0.472279,0.635926,-0.007660,0.906053,0.818182,mixed_or_partial,0.200000,0.818182,0.321429,45.000000,0.200000,0.818182,0.321429,45.000000,0.346154,0.818182,0.486486,26.000000
8,0.807324,1,legacy,0.681818,0.588889,0.671228,hard_coverage,0.588889,0.250000,0.488889,0.249055,0.760002,0.747943,1.000000,0.466667,1.000000,0,0.249055,0.930266,0.000000,0.807324,0.350000,0.147222,0.149589,0.114000,0.046513,0.121793,0.134246,0.000000,0.012453,0.121793,0.134246,0.000000,0.000000,0.000000,0.012453,0.200000,1.000000,0.050000,0.000000,0.000000,0.033561,0.000000,0.008561,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.964887,22,45,1,pass,0.466667,0.850000,1.000000,0.430901,0.186318,0.432392,0.023806,0.968809,3.878111,0.973717,0.964887,8.340995,8.763471,0.000000,0.000000,0.000000,0.440000,0.000847,0.391727,0.385148,0.346923,1.223313,0.424484,3.169071,0.000000,0.867675,0.095619,-0.325461,0.681818,0.225502,0.047766,-0.161309,0.681818,1.000000,500.000000,0.015466,0.020182,0.023686,0.004716,0.008220,1.304892,1.531499,0.035014,0.000000,0.638865,0.681540,-0.042675,0.635588,0.682269,-0.046681,-0.042675,-0.004006,0.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.688231,0.000117,0.000172,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.091153,0.000059,0.964887,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.200000,0.818182,0.321429,0.000000,0.249055,0.118997,0.271667,0.709141,0.945004,0.000000,0.088889,0.472234,0.636726,-0.006811,0.905360,0.818182,mixed_or_partial,0.200000,0.818182,0.321429,45.000000,0.200000,0.818182,0.321429,45.000000,0.346154,0.818182,0.486486,26.000000
9,0.807360,1,legacy,0.681818,0.588889,0.671228,hard_coverage,0.588889,0.250000,0.488889,0.249175,0.760204,0.747943,1.000000,0.466667,1.000000,0,0.249175,0.930374,0.000000,0.807360,0.350000,0.147222,0.149589,0.114031,0.046519,0.121787,0.134246,0.000000,0.012459,0.121787,0.134246,0.000000,0.000000,0.000000,0.012459,0.200000,1.000000,0.050000,0.000000,0.000000,0.033561,0.000000,0.008561,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.964716,22,45,1,pass,0.466667,0.850000,1.000000,0.429102,0.186358,0.434297,0.023645,0.968662,3.861916,0.974819,0.964716,8.337804,8.760921,0.000000,0.000000,0.000000,0.440000,0.000847,0.391727,0.385148,0.346923,1.223945,0.427790,3.161969,0.000000,0.866226,0.095053,-0.329089,0.681818,0.225180,0.047482,-0.163075,0.681818,1.000000,500.000000,0.034154,0.012439,0.011446,-0.021714,-0.022708,0.364217,0.335132,0.035184,0.000000,0.648991,0.684670,-0.035679,0.647251,0.686301,-0.039051,-0.035679,-0.003371,0.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.688770,0.000093,0.000120,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.090746,0.000046,0.964716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.200000,0.818182,0.321429,0.000000,0.249175,0.119798,0.271392,0.709567,0.945017,0.000000,0.088889,0.472223,0.637533,-0.005954,0.904658,0.818182,mixed_or_partial,0.200000,0.818182,0.321429,45.000000,0.200000,0.818182,0.321429,45.000000,0.333333,0.818182,0.473684,27.000000
10,0.807383,1,legacy,0.681818,0.588889,0.671228,hard_coverage,0.588889,0.250000,0.488889,0.249252,0.760335,0.747943,1.000000,0.466667,1.000000,0,0.249252,0.930443,0.000000,0.807383,0.350000,0.147222,0.149589,0.114050,0.046522,0.121783,0.134246,0.000000,0.012463,0.121783,0.134246,0.000000,0.000000,0.000000,0.012463,0.200000,1.000000,0.050000,0.000000,0.000000,0.033561,0.000000,0.008561,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.964571,22,45,1,pass,0.466667,0.850000,1.000000,0.427599,0.186390,0.435899,0.023520,0.968530,3.848394,0.975793,0.964571,8.335083,8.758730,0.000000,0.000000,0.000000,0.440000,0.000847,0.391727,0.385148,0.346923,1.224565,0.430918,3.155405,0.000000,0.864862,0.095228,-0.334164,0.681818,0.224869,0.047569,-0.165544,0.681818,1.000000,500.000000,0.008726,0.010024,0.017783,0.001298,0.009057,1.148762,2.038018,0.035328,0.000000,0.657512,0.685380,-0.027868,0.657286,0.687650,-0.030364,-0.027868,-0.002496,0.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.689305,0.000052,0.000060,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.090416,0.000026,0.964571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.200000,0.818182,0.321429,0.000000,0.249252,0.120312,0.271175,0.710043,0.945010,0.022222,0.088889,0.472260,0.638416,-0.005074,0.903937,0.818182,mixed_or_partial,0.200000,0.818182,0.321429,45.000000,0.200000,0.818182,0.321429,45.000000,0.333333,0.818182,0.473684,27.000000
