epoch,score,selection_eligible,score_mode,agreement,agreement_score,agreement_soft_score,agreement_mode,effective_agreement_score,agreement_weight,agreement_coverage,dir_margin,margin_score,density_factor,skeleton_overlap,actual_pair_density,target_pair_density,fixed_support_mask_active,global_asymmetry,asymmetry_score,causal_lag_reverse_minus_forward,score_legacy_total,score_term_legacy_skeleton,score_term_legacy_agreement,score_term_legacy_density,score_term_legacy_margin,score_term_legacy_asymmetry,score_composite_total,score_term_composite_soft_agreement,score_term_composite_causal_lag,score_term_composite_margin_penalty,score_entropy_composite_total,score_term_entropy_composite_soft_agreement,score_term_entropy_composite_causal_lag_mean,score_term_entropy_composite_causal_lag_std_penalty,score_term_entropy_composite_parent_entropy_penalty,score_term_entropy_composite_margin_penalty,composite_soft_agreement_weight,composite_causal_lag_weight,composite_margin_penalty_weight,composite_causal_lag_std_penalty_weight,composite_parent_entropy_penalty_weight,score_primary_total,score_term_primary_causal_lag,score_term_primary_soft_tiebreak,score_term_primary_skeleton_tiebreak,score_term_primary_density_tiebreak,primary_causal_lag_weight,primary_soft_tiebreak_weight,primary_skeleton_tiebreak_weight,primary_density_tiebreak_weight,selection_causal_lag_delta_mean,selection_causal_lag_delta_std,selection_parent_entropy_mean,high_conf_edges,k,guardrail_pass,guardrail_reason,guardrail_density_ratio,guardrail_required_skeleton_overlap,guardrail_peak_skeleton_overlap,adj_offdiag_mean,adj_offdiag_std,adj_offdiag_cv,adj_offdiag_min,adj_offdiag_max,adj_in_degree_mean,adj_in_degree_std,adj_parent_entropy_mean,adj_eff_parents_mean,adj_eff_parents_p90,adj_ungated_asym_mean,adj_ungated_asym_median,adj_ungated_asym_p90,dir_active_pair_frac,dir_prior_q_threshold,dir_active_reliability_mean,dir_active_reliability_median,dir_active_reliability_p10,dir_active_abs_margin_mean,dir_active_abs_margin_median,dir_active_abs_margin_p90,dir_active_abs_margin_near0_frac,dir_active_signed_raw_mean,dir_active_signed_raw_median,dir_active_signed_raw_p10,dir_active_signed_raw_frac_pos,dir_active_signed_gate_mean,dir_active_signed_gate_median,dir_active_signed_gate_p10,dir_active_signed_gate_frac_pos,noise_probe_available,noise_probe_timestep,noise_probe_patel_loss,noise_probe_blend50_loss,noise_probe_learned_loss,noise_probe_delta_blend50_minus_patel,noise_probe_delta_learned_minus_patel,noise_probe_ratio_blend50_over_patel,noise_probe_ratio_learned_over_patel,noise_probe_guide_l1_mean,msg_dir_mode_is_causal,msg_dir_raw_diag_mean,msg_dir_raw_offdiag_mean,msg_dir_raw_diag_gap,msg_dir_causal_diag_mean,msg_dir_causal_offdiag_mean,msg_dir_causal_diag_gap,msg_dir_active_diag_gap,msg_dir_gap_delta_causal_minus_raw,msg_dir_prefers_causal,directional_kappa_gate_enabled,directional_kappa_gate_quantile,directional_kappa_gate_threshold,directional_kappa_gate_pair_frac,main_loss_weight,training_noise_guide_mode,training_noise_guide_active,training_noise_guide_blend_weight,training_noise_guide_blend_target,training_noise_guide_warmup_epochs,training_noise_guide_ramp_epochs,training_noise_guide_guide_l1_mean,directional_loss_active,directional_loss_end_epoch,directional_loss_deactivated_from_epoch,dir_loss_raw,dir_loss_weighted,dir_lambda_current,direction_lr_multiplier,direction_lr_current,direction_branch_frozen,freeze_direction_after_epoch,direction_branch_frozen_from_epoch,gradient_routing_mode,gradient_routing_label,routing_main_updates_support,routing_main_updates_direction,routing_structure_updates_support,routing_structure_updates_direction,routing_causal_lag_updates_support,routing_causal_lag_updates_direction,detach_direction_from_main_active,detach_direction_from_main_after_epoch,direction_from_main_detached_from_epoch,causal_lag_main_raw,causal_lag_main_weight,causal_lag_main_weighted,ortho_loss_raw,ortho_loss_weighted,parent_entropy_raw,parent_entropy_weighted,parent_entropy_lambda_current,parent_cap_raw,parent_cap_weighted,parent_cap_lambda_current,parent_cap_target,ungated_symmetry_raw,ungated_symmetry_weighted,ungated_symmetry_lambda_current,gradient_alignment_probe_enabled,gradient_alignment_probe_seed,selector_audit_enabled,grad_probe_available,grad_probe_lambda_dir,grad_probe_diff_norm,grad_probe_dir_norm_raw,grad_probe_dir_norm_weighted,grad_probe_dir_to_diff_norm_ratio,grad_probe_cosine,grad_probe_cosine_negative,causal_lag_diag_available,causal_lag_diag_forward_loss,causal_lag_diag_reverse_loss,causal_lag_diag_reverse_minus_forward,causal_lag_diag_forward_over_reverse,causal_lag_diag_prefers_forward,causal_lag_diag_num_lags,selection_causal_lag_subject_count,selection_causal_lag_forward_mean,selection_causal_lag_forward_std,selection_causal_lag_reverse_mean,selection_causal_lag_reverse_std,selection_causal_lag_delta_min,selection_causal_lag_delta_max,selection_causal_lag_prefers_forward_frac,selection_causal_lag_num_lags,selector_audit_precision,selector_audit_recall,selector_audit_f1,selector_audit_tie_count,selector_audit_margin_mean,selector_audit_margin_median,selector_audit_margin_std,selector_audit_margin_p90,selector_audit_margin_max,selector_audit_margin_lt_1e3_frac,selector_audit_margin_lt_1e2_frac,selector_audit_gt_signed_margin_mean,selector_audit_gt_signed_margin_median,selector_audit_gt_signed_margin_p10,selector_audit_gt_signed_margin_p90,selector_audit_gt_signed_margin_frac_pos,selector_audit_failure_mode,selector_audit_strict_precision_eps_0,selector_audit_strict_recall_eps_0,selector_audit_strict_f1_eps_0,selector_audit_strict_pred_count_eps_0,selector_audit_strict_precision_eps_0p0003,selector_audit_strict_recall_eps_0p0003,selector_audit_strict_f1_eps_0p0003,selector_audit_strict_pred_count_eps_0p0003,selector_audit_strict_precision_eps_0p1,selector_audit_strict_recall_eps_0p1,selector_audit_strict_f1_eps_0p1,selector_audit_strict_pred_count_eps_0p1
1,0.892179,0,legacy,1.000000,0.744444,1.000000,hard_coverage,0.744444,0.250000,0.488889,0.236328,0.737653,0.997623,1.000000,0.933333,1.000000,0,0.236328,0.917899,0.000000,0.892179,0.350000,0.186111,0.199525,0.110648,0.045895,0.188184,0.200000,0.000000,0.011816,0.188184,0.200000,0.000000,0.000000,0.000000,0.011816,0.200000,1.000000,0.050000,0.000000,0.000000,0.050000,0.000000,0.025000,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.966214,22,45,0,before_selection_start,0.933333,0.500000,0.000000,0.494298,0.181275,0.366731,0.024527,0.974111,4.448682,0.476829,0.966214,8.364914,8.712212,0.000000,0.000000,0.000000,0.440000,0.003942,0.386214,0.367880,0.298588,1.920016,0.860837,5.784805,0.000000,1.920016,0.860837,0.114629,1.000000,0.488925,0.405661,0.057252,1.000000,1.000000,500.000000,8.497196,9.812346,8.545115,1.315149,0.047919,1.154775,1.005639,0.031080,0.000000,0.147248,0.208986,-0.061738,0.210808,0.206734,0.004074,-0.061738,0.065812,1.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.241910,0.000000,0.000000,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.119046,0.000000,0.966214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.222222,0.909091,0.357143,0.000000,0.236328,0.115864,0.274879,0.651777,0.949584,0.000000,0.066667,0.530949,0.645347,0.023029,0.901435,0.909091,mixed_or_partial,0.222222,0.909091,0.357143,45.000000,0.222222,0.909091,0.357143,45.000000,0.360000,0.818182,0.500000,25.000000
2,0.884995,0,legacy,1.000000,0.744444,1.000000,hard_coverage,0.744444,0.250000,0.488889,0.236468,0.737909,0.961477,1.000000,0.755556,1.000000,0,0.236468,0.918046,0.000000,0.884995,0.350000,0.186111,0.192295,0.110686,0.045902,0.188177,0.200000,0.000000,0.011823,0.188177,0.200000,0.000000,0.000000,0.000000,0.011823,0.200000,1.000000,0.050000,0.000000,0.000000,0.050000,0.000000,0.025000,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.965651,22,45,0,before_selection_start,0.755556,0.500000,0.000000,0.489046,0.181322,0.370767,0.023905,0.973461,4.401411,0.475261,0.965651,8.354593,8.704523,0.000000,0.000000,0.000000,0.440000,0.003942,0.386214,0.367880,0.298588,1.920948,0.859538,5.784684,0.000000,1.920948,0.859538,0.115148,1.000000,0.489094,0.405114,0.057510,1.000000,1.000000,500.000000,6.322788,6.530221,6.319572,0.207433,-0.003216,1.032807,0.999491,0.031512,0.000000,0.127347,0.195743,-0.068396,0.195067,0.192913,0.002155,-0.068396,0.070551,1.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.241711,0.000000,0.000000,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.118874,0.000000,0.965651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.222222,0.909091,0.357143,0.000000,0.236468,0.115430,0.274727,0.650740,0.949556,0.000000,0.066667,0.530768,0.645344,0.023120,0.901524,0.909091,mixed_or_partial,0.222222,0.909091,0.357143,45.000000,0.222222,0.909091,0.357143,45.000000,0.360000,0.818182,0.500000,25.000000
3,0.881446,0,legacy,1.000000,0.744444,1.000000,hard_coverage,0.744444,0.250000,0.488889,0.236584,0.738119,0.943541,1.000000,0.711111,1.000000,0,0.236584,0.918167,0.000000,0.881446,0.350000,0.186111,0.188708,0.110718,0.045908,0.188171,0.200000,0.000000,0.011829,0.188171,0.200000,0.000000,0.000000,0.000000,0.011829,0.200000,1.000000,0.050000,0.000000,0.000000,0.050000,0.000000,0.025000,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.965146,22,45,0,before_selection_start,0.711111,0.500000,0.000000,0.484455,0.181382,0.374405,0.023374,0.972970,4.360092,0.474883,0.965146,8.345353,8.698061,0.000000,0.000000,0.000000,0.440000,0.003942,0.386214,0.367880,0.298588,1.921786,0.857012,5.784465,0.000000,1.921786,0.857012,0.112427,1.000000,0.489140,0.404047,0.056154,1.000000,1.000000,500.000000,5.411066,6.362320,6.187622,0.951254,0.776556,1.175798,1.143512,0.031905,0.000000,0.158088,0.233691,-0.075603,0.219035,0.228676,-0.009641,-0.075603,0.065961,1.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.241645,0.000000,0.000000,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.118608,0.000000,0.965146,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.222222,0.909091,0.357143,0.000000,0.236584,0.115127,0.274572,0.649747,0.949596,0.000000,0.066667,0.530635,0.645444,0.023282,0.901728,0.909091,mixed_or_partial,0.222222,0.909091,0.357143,45.000000,0.222222,0.909091,0.357143,45.000000,0.360000,0.818182,0.500000,25.000000
4,0.879354,0,legacy,1.000000,0.744444,1.000000,hard_coverage,0.744444,0.250000,0.488889,0.236688,0.738310,0.932913,1.000000,0.688889,1.000000,0,0.236688,0.918277,0.000000,0.879354,0.350000,0.186111,0.186583,0.110746,0.045914,0.188166,0.200000,0.000000,0.011834,0.188166,0.200000,0.000000,0.000000,0.000000,0.011834,0.200000,1.000000,0.050000,0.000000,0.000000,0.050000,0.000000,0.025000,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.964720,22,45,0,before_selection_start,0.688889,0.500000,0.000000,0.480672,0.181443,0.377478,0.022917,0.972597,4.326049,0.475463,0.964720,8.337584,8.692946,0.000000,0.000000,0.000000,0.440000,0.003942,0.386214,0.367880,0.298588,1.922487,0.854048,5.783870,0.000000,1.922487,0.854048,0.109167,1.000000,0.489131,0.402792,0.054529,1.000000,1.000000,500.000000,5.373695,5.890309,5.550640,0.516614,0.176944,1.096138,1.032928,0.032235,0.000000,0.202462,0.279514,-0.077052,0.259605,0.273605,-0.013999,-0.077052,0.063053,1.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.241638,0.000000,0.000000,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.118298,0.000000,0.964720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.222222,0.909091,0.357143,0.000000,0.236688,0.114801,0.274417,0.648714,0.949680,0.000000,0.044444,0.530543,0.645571,0.023553,0.901993,0.909091,mixed_or_partial,0.222222,0.909091,0.357143,45.000000,0.222222,0.909091,0.357143,45.000000,0.360000,0.818182,0.500000,25.000000
5,0.871522,0,legacy,1.000000,0.744444,1.000000,hard_coverage,0.744444,0.250000,0.488889,0.236814,0.738539,0.893548,1.000000,0.622222,1.000000,0,0.236814,0.918408,0.000000,0.871522,0.350000,0.186111,0.178710,0.110781,0.045920,0.188159,0.200000,0.000000,0.011841,0.188159,0.200000,0.000000,0.000000,0.000000,0.011841,0.200000,1.000000,0.050000,0.000000,0.000000,0.050000,0.000000,0.025000,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.964289,22,45,0,before_selection_start,0.622222,0.500000,0.000000,0.476915,0.181515,0.380603,0.022442,0.972287,4.292237,0.476425,0.964289,8.329730,8.687857,0.000000,0.000000,0.000000,0.440000,0.003942,0.386214,0.367880,0.298588,1.923436,0.850226,5.783304,0.000000,1.923436,0.850226,0.104914,1.000000,0.489115,0.401167,0.052409,1.000000,1.000000,500.000000,4.769468,4.126554,4.672445,-0.642914,-0.097023,0.865202,0.979657,0.032562,0.000000,0.239661,0.317299,-0.077637,0.295659,0.310469,-0.014810,-0.077637,0.062828,1.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.241633,0.000000,0.000000,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.117910,0.000000,0.964289,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.222222,0.909091,0.357143,0.000000,0.236814,0.114431,0.274232,0.647486,0.949845,0.000000,0.044444,0.530448,0.645689,0.023939,0.902409,0.909091,mixed_or_partial,0.222222,0.909091,0.357143,45.000000,0.222222,0.909091,0.357143,45.000000,0.360000,0.818182,0.500000,25.000000
6,0.868395,1,legacy,1.000000,0.744444,1.000000,hard_coverage,0.744444,0.250000,0.488889,0.236958,0.738801,0.877682,1.000000,0.600000,1.000000,0,0.236958,0.918559,0.000000,0.868395,0.350000,0.186111,0.175536,0.110820,0.045928,0.188152,0.200000,0.000000,0.011848,0.188152,0.200000,0.000000,0.000000,0.000000,0.011848,0.200000,1.000000,0.050000,0.000000,0.000000,0.050000,0.000000,0.025000,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.963889,22,45,1,pass,0.600000,0.500000,0.000000,0.473521,0.181597,0.383503,0.021994,0.972086,4.261689,0.477702,0.963889,8.322440,8.683430,0.000000,0.000000,0.000000,0.440000,0.003942,0.386214,0.367880,0.298588,1.924697,0.846777,5.783161,0.000000,1.924697,0.846777,0.100722,1.000000,0.489162,0.399693,0.050318,1.000000,1.000000,500.000000,4.723788,4.320890,3.601953,-0.402898,-1.121835,0.914709,0.762514,0.032862,0.000000,0.352471,0.419150,-0.066679,0.392829,0.412936,-0.020107,-0.066679,0.046572,1.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.241510,0.008244,0.046520,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.117507,0.004116,0.963889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.046520,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.222222,0.909091,0.357143,0.000000,0.236958,0.114855,0.274043,0.646207,0.950091,0.000000,0.044444,0.530350,0.645791,0.024240,0.902914,0.909091,mixed_or_partial,0.222222,0.909091,0.357143,45.000000,0.222222,0.909091,0.357143,45.000000,0.360000,0.818182,0.500000,25.000000
