variant,final_loss_mean,final_loss_std,mean_last5_loss_mean,mean_last5_loss_std,normalized_auc_mean,normalized_auc_std,offdiag_mean_mean,offdiag_sparsity_ratio_mean,adj_asymmetry_mean,runtime_sec_mean
full_encoder,4.30549207749209e-06,5.386206148979432e-07,4.841178923546371e-06,4.427464886394451e-07,0.0009197432213137012,0.0001309499066264255,0.18777810037136078,1.0,0.004741553993274768,50.10841258366903
no_temporal_stack,4.621687866498785e-06,7.44088686973082e-07,5.427421687575891e-06,1.0403703108092202e-06,0.0013494575104683187,0.00010064074370049803,0.19043559829394022,1.0,0.005839203794797261,35.91586605707804
reduced_receptive_field,6.370490407334729e-06,1.3245578259741283e-06,6.434995919335051e-06,9.175726414824743e-07,0.0011915477665420313,0.00019445948021076063,0.1930747926235199,1.0,0.007211247614274423,43.09626913070679
