Node_i ,Node_j ,"A[i,j]" ,"A[j,i]" ,Diff                   ,Direction
    32 ,    37 ,  0.4553 ,  0.1982 ,0.2571                 ,32->37
    14 ,    42 ,  0.0381 ,  0.2946 ,0.25649999999999995    ,42->14
     1 ,    10 ,  0.3121 ,  0.0567 ,0.25539999999999996    ,1->10
     5 ,    11 ,  0.5124 ,  0.2577 ,0.2547                 ,5->11
    26 ,    35 ,  0.3703 ,  0.1184 ,0.2519                 ,26->35
    11 ,    36 ,  0.3009 ,  0.5497 ,0.24879999999999997    ,36->11
    10 ,    22 ,  0.0203 ,  0.2645 ,0.24420000000000003    ,22->10
    39 ,    49 ,  0.0702 ,  0.3095 ,0.2393                 ,49->39
    11 ,    18 ,  0.028  ,  0.2669 ,0.23890000000000003    ,18->11
    36 ,    38 ,  0.5666 ,  0.8054 ,0.2388                 ,38->36
     1 ,    36 ,  0.3137 ,  0.0777 ,0.236                  ,1->36
     8 ,    10 ,  0.4501 ,  0.2142 ,0.2359                 ,8->10
     1 ,    11 ,  0.2929 ,  0.0571 ,0.2358                 ,1->11
    14 ,    27 ,  0.0822 ,  0.3165 ,0.2343                 ,27->14
     1 ,    14 ,  0.3361 ,  0.1019 ,0.23420000000000002    ,1->14
    13 ,    18 ,  0.0496 ,  0.2838 ,0.2342                 ,18->13
     2 ,    22 ,  0.0618 ,  0.2952 ,0.23340000000000002    ,22->2
    26 ,    36 ,  0.363  ,  0.1317 ,0.23129999999999998    ,26->36
     7 ,    17 ,  0.0536 ,  0.2837 ,0.2301                 ,17->7
    31 ,    38 ,  0.2915 ,  0.0623 ,0.2292                 ,31->38
    11 ,    26 ,  0.0805 ,  0.3093 ,0.2288                 ,26->11
    12 ,    18 ,  0.076  ,  0.3037 ,0.2277                 ,18->12
    31 ,    36 ,  0.2736 ,  0.0459 ,0.2277                 ,31->36
     6 ,     7 ,  0.4205 ,  0.6477 ,0.22720000000000007    ,7->6
    11 ,    29 ,  0.099  ,  0.3236 ,0.2246                 ,29->11
    31 ,    37 ,  0.3105 ,  0.0861 ,0.2244                 ,31->37
     1 ,    39 ,  0.3199 ,  0.0956 ,0.2243                 ,1->39
    13 ,    47 ,  0.0663 ,  0.2884 ,0.2221                 ,47->13
    10 ,    48 ,  0.0592 ,  0.2812 ,0.222                  ,48->10
     4 ,    35 ,  0.3242 ,  0.1036 ,0.2206                 ,4->35
     9 ,    10 ,  0.4519 ,  0.2318 ,0.22010000000000002    ,9->10
    11 ,    39 ,  0.3338 ,  0.5527 ,0.21889999999999998    ,39->11
     6 ,    22 ,  0.0232 ,  0.2405 ,0.2173                 ,22->6
    28 ,    36 ,  0.2943 ,  0.0773 ,0.21700000000000003    ,28->36
     7 ,    13 ,  0.6378 ,  0.4219 ,0.21590000000000004    ,7->13
     7 ,     9 ,  0.5403 ,  0.3257 ,0.2146                 ,7->9
     7 ,    39 ,  0.2944 ,  0.0804 ,0.214                  ,7->39
    11 ,    32 ,  0.0401 ,  0.2535 ,0.2134                 ,32->11
    10 ,    15 ,  0.0347 ,  0.2472 ,0.2125                 ,15->10
    14 ,    37 ,  0.0964 ,  0.3079 ,0.21150000000000002    ,37->14
    10 ,    32 ,  0.0393 ,  0.2499 ,0.2106                 ,32->10
    14 ,    18 ,  0.0354 ,  0.2446 ,0.2092                 ,18->14
     5 ,    22 ,  0.0221 ,  0.2309 ,0.20879999999999999    ,22->5
    10 ,    18 ,  0.0335 ,  0.2419 ,0.2084                 ,18->10
    37 ,    47 ,  0.1423 ,  0.3504 ,0.20809999999999998    ,47->37
    31 ,    39 ,  0.2644 ,  0.0571 ,0.20730000000000004    ,31->39
    13 ,    39 ,  0.4328 ,  0.2257 ,0.2071                 ,13->39
    14 ,    29 ,  0.1365 ,  0.3425 ,0.20600000000000002    ,29->14
    14 ,    48 ,  0.0827 ,  0.288  ,0.20529999999999998    ,48->14
