Node_i ,Node_j ,"A[i,j]" ,"A[j,i]" ,Diff                   ,Direction
     2 ,    20 ,  0.0193 ,  0.1091 ,0.0898                 ,20->2
    22 ,    28 ,  0.1067 ,  0.0173 ,0.08940000000000001    ,22->28
    14 ,    46 ,  0.0962 ,  0.1853 ,0.0891                 ,46->14
     6 ,    23 ,  0.0239 ,  0.1126 ,0.0887                 ,23->6
     8 ,    39 ,  0.1854 ,  0.0972 ,0.08820000000000001    ,8->39
    14 ,    41 ,  0.0542 ,  0.1422 ,0.088                  ,41->14
     0 ,    24 ,  0.0168 ,  0.1047 ,0.0879                 ,24->0
    28 ,    38 ,  0.194  ,  0.1062 ,0.0878                 ,28->38
    25 ,    37 ,  0.1475 ,  0.2347 ,0.0872                 ,37->25
    11 ,    21 ,  0.0179 ,  0.105  ,0.0871                 ,21->11
    13 ,    33 ,  0.0568 ,  0.1438 ,0.08700000000000001    ,33->13
    30 ,    39 ,  0.1489 ,  0.0621 ,0.0868                 ,30->39
    35 ,    40 ,  0.0487 ,  0.1354 ,0.0867                 ,40->35
     1 ,     2 ,  0.3921 ,  0.4787 ,0.08660000000000001    ,2->1
     6 ,    43 ,  0.0196 ,  0.1061 ,0.0865                 ,43->6
    13 ,    29 ,  0.1568 ,  0.2433 ,0.0865                 ,29->13
     7 ,    12 ,  0.6567 ,  0.5705 ,0.08619999999999994    ,7->12
     8 ,    36 ,  0.1814 ,  0.0954 ,0.08600000000000001    ,8->36
    15 ,    26 ,  0.105  ,  0.0192 ,0.0858                 ,15->26
     4 ,     7 ,  0.0861 ,  0.1712 ,0.0851                 ,7->4
     6 ,    19 ,  0.0452 ,  0.13   ,0.08480000000000001    ,19->6
    37 ,    44 ,  0.1043 ,  0.1891 ,0.08479999999999999    ,44->37
     5 ,    13 ,  0.4029 ,  0.4875 ,0.08460000000000001    ,13->5
     2 ,    23 ,  0.0587 ,  0.1432 ,0.08449999999999999    ,23->2
    17 ,    28 ,  0.1008 ,  0.0164 ,0.0844                 ,17->28
     9 ,    18 ,  0.0383 ,  0.1223 ,0.084                  ,18->9
    12 ,    43 ,  0.0246 ,  0.1081 ,0.0835                 ,43->12
    17 ,    18 ,  0.2084 ,  0.125  ,0.0834                 ,17->18
    17 ,    38 ,  0.0965 ,  0.0134 ,0.08310000000000001    ,17->38
    36 ,    41 ,  0.0551 ,  0.1382 ,0.08309999999999998    ,41->36
    25 ,    27 ,  0.1001 ,  0.183  ,0.0829                 ,27->25
    29 ,    42 ,  0.0406 ,  0.1233 ,0.08270000000000001    ,42->29
     3 ,     7 ,  0.1811 ,  0.2633 ,0.08219999999999997    ,7->3
    18 ,    46 ,  0.1123 ,  0.0302 ,0.08209999999999999    ,18->46
    16 ,    39 ,  0.1041 ,  0.0222 ,0.0819                 ,16->39
    18 ,    45 ,  0.0956 ,  0.0138 ,0.08180000000000001    ,18->45
    27 ,    47 ,  0.1529 ,  0.2347 ,0.08179999999999998    ,47->27
    17 ,    29 ,  0.1006 ,  0.019  ,0.08159999999999999    ,17->29
    14 ,    40 ,  0.0449 ,  0.1264 ,0.08150000000000002    ,40->14
    10 ,    40 ,  0.0424 ,  0.1238 ,0.0814                 ,40->10
     6 ,    45 ,  0.0784 ,  0.1596 ,0.0812                 ,45->6
    36 ,    45 ,  0.052  ,  0.1331 ,0.0811                 ,45->36
    36 ,    40 ,  0.0551 ,  0.1358 ,0.0807                 ,40->36
    25 ,    43 ,  0.0438 ,  0.1243 ,0.08049999999999999    ,43->25
    24 ,    36 ,  0.0997 ,  0.0193 ,0.0804                 ,24->36
     2 ,    21 ,  0.0237 ,  0.104  ,0.0803                 ,21->2
     5 ,    23 ,  0.0234 ,  0.1037 ,0.0803                 ,23->5
    29 ,    32 ,  0.059  ,  0.1387 ,0.0797                 ,32->29
    39 ,    45 ,  0.0699 ,  0.1495 ,0.07959999999999999    ,45->39
    12 ,    24 ,  0.0228 ,  0.1023 ,0.0795                 ,24->12
     3 ,    36 ,  0.1519 ,  0.0726 ,0.07930000000000001    ,3->36
     7 ,    24 ,  0.0208 ,  0.1001 ,0.0793                 ,24->7
    14 ,    25 ,  0.1359 ,  0.2148 ,0.0789                 ,25->14
    12 ,    13 ,  0.8081 ,  0.7293 ,0.07880000000000009    ,12->13
    22 ,    25 ,  0.0942 ,  0.0157 ,0.07850000000000001    ,22->25
    39 ,    40 ,  0.0615 ,  0.1395 ,0.07800000000000001    ,40->39
    14 ,    20 ,  0.0191 ,  0.0968 ,0.07769999999999999    ,20->14
     5 ,    43 ,  0.0238 ,  0.1013 ,0.0775                 ,43->5
    16 ,    26 ,  0.0943 ,  0.0168 ,0.0775                 ,16->26
    17 ,    26 ,  0.0914 ,  0.0143 ,0.0771                 ,17->26
    36 ,    46 ,  0.0569 ,  0.134  ,0.0771                 ,46->36
     5 ,    27 ,  0.0789 ,  0.1558 ,0.0769                 ,27->5
    39 ,    41 ,  0.0553 ,  0.1321 ,0.0768                 ,41->39
    22 ,    27 ,  0.1071 ,  0.0308 ,0.0763                 ,22->27
     8 ,    12 ,  0.4331 ,  0.5094 ,0.07629999999999998    ,12->8
    12 ,    41 ,  0.0322 ,  0.1083 ,0.0761                 ,41->12
    23 ,    35 ,  0.0932 ,  0.0171 ,0.0761                 ,23->35
    18 ,    19 ,  0.1897 ,  0.1141 ,0.07560000000000001    ,18->19
     8 ,    18 ,  0.0499 ,  0.1247 ,0.0748                 ,18->8
     4 ,    23 ,  0.0263 ,  0.1004 ,0.0741                 ,23->4
    12 ,    37 ,  0.0548 ,  0.1282 ,0.0734                 ,37->12
    40 ,    42 ,  0.0598 ,  0.133  ,0.07320000000000002    ,42->40
     4 ,    17 ,  0.0138 ,  0.0868 ,0.07300000000000001    ,17->4
    28 ,    42 ,  0.0503 ,  0.123  ,0.0727                 ,42->28
    26 ,    43 ,  0.0495 ,  0.122  ,0.0725                 ,43->26
    29 ,    48 ,  0.0717 ,  0.1442 ,0.0725                 ,48->29
    13 ,    41 ,  0.0444 ,  0.1168 ,0.07239999999999999    ,41->13
     0 ,    39 ,  0.1776 ,  0.1055 ,0.07210000000000001    ,0->39
     4 ,    27 ,  0.0729 ,  0.1443 ,0.0714                 ,27->4
     1 ,     5 ,  0.1588 ,  0.0875 ,0.0713                 ,1->5
    24 ,    39 ,  0.0941 ,  0.0228 ,0.0713                 ,24->39
    30 ,    38 ,  0.1346 ,  0.0636 ,0.071                  ,30->38
     2 ,     7 ,  0.401  ,  0.3301 ,0.07090000000000002    ,2->7
    16 ,    17 ,  0.099  ,  0.1697 ,0.07069999999999999    ,17->16
     5 ,    36 ,  0.1933 ,  0.1228 ,0.0705                 ,5->36
    12 ,    21 ,  0.019  ,  0.0895 ,0.0705                 ,21->12
    22 ,    38 ,  0.0877 ,  0.0173 ,0.0704                 ,22->38
     6 ,    44 ,  0.0307 ,  0.1011 ,0.07039999999999999    ,44->6
     0 ,     4 ,  0.4425 ,  0.3725 ,0.07                   ,0->4
     5 ,    24 ,  0.0234 ,  0.0934 ,0.06999999999999999    ,24->5
    10 ,    31 ,  0.0591 ,  0.1291 ,0.06999999999999999    ,31->10
     6 ,    32 ,  0.0536 ,  0.1234 ,0.0698                 ,32->6
    28 ,    48 ,  0.0894 ,  0.159  ,0.06960000000000001    ,48->28
    18 ,    26 ,  0.0878 ,  0.0183 ,0.0695                 ,18->26
     0 ,    47 ,  0.0377 ,  0.1068 ,0.06910000000000001    ,47->0
    20 ,    35 ,  0.0904 ,  0.0213 ,0.0691                 ,20->35
    25 ,    48 ,  0.056  ,  0.1248 ,0.0688                 ,48->25
     9 ,    13 ,  0.3585 ,  0.4272 ,0.06870000000000004    ,13->9
     3 ,    47 ,  0.0525 ,  0.1207 ,0.06820000000000001    ,47->3
    18 ,    22 ,  0.0243 ,  0.0925 ,0.0682                 ,22->18
    22 ,    26 ,  0.0879 ,  0.0199 ,0.068                  ,22->26
    19 ,    39 ,  0.0858 ,  0.0179 ,0.0679                 ,19->39
     0 ,    23 ,  0.0251 ,  0.0928 ,0.0677                 ,23->0
     3 ,    27 ,  0.0994 ,  0.167  ,0.06760000000000001    ,27->3
     0 ,     1 ,  0.3579 ,  0.4253 ,0.06740000000000002    ,1->0
     1 ,    12 ,  0.1845 ,  0.1172 ,0.0673                 ,1->12
     6 ,    48 ,  0.0567 ,  0.1237 ,0.067                  ,48->6
    11 ,    40 ,  0.0357 ,  0.1026 ,0.06689999999999999    ,40->11
    19 ,    36 ,  0.0872 ,  0.0204 ,0.0668                 ,19->36
     0 ,    43 ,  0.0265 ,  0.0932 ,0.06670000000000001    ,43->0
    28 ,    47 ,  0.1071 ,  0.1737 ,0.06659999999999999    ,47->28
    12 ,    44 ,  0.0375 ,  0.1038 ,0.0663                 ,44->12
    25 ,    29 ,  0.2462 ,  0.3124 ,0.06620000000000001    ,29->25
     0 ,    36 ,  0.157  ,  0.091  ,0.066                  ,0->36
    23 ,    39 ,  0.084  ,  0.018  ,0.066                  ,23->39
     9 ,    47 ,  0.0465 ,  0.112  ,0.0655                 ,47->9
    13 ,    26 ,  0.0993 ,  0.1648 ,0.0655                 ,26->13
     5 ,    44 ,  0.0267 ,  0.092  ,0.0653                 ,44->5
    26 ,    48 ,  0.0612 ,  0.1265 ,0.0653                 ,48->26
     0 ,    17 ,  0.0111 ,  0.0763 ,0.06520000000000001    ,17->0
     1 ,    27 ,  0.1358 ,  0.201  ,0.06520000000000001    ,27->1
     6 ,    27 ,  0.0737 ,  0.1386 ,0.0649                 ,27->6
    13 ,    20 ,  0.0208 ,  0.0857 ,0.0649                 ,20->13
     7 ,    38 ,  0.1284 ,  0.0635 ,0.06489999999999999    ,7->38
     8 ,    42 ,  0.0213 ,  0.0859 ,0.0646                 ,42->8
    15 ,    25 ,  0.0799 ,  0.0154 ,0.0645                 ,15->25
     5 ,    32 ,  0.0495 ,  0.1139 ,0.0644                 ,32->5
     0 ,    27 ,  0.059  ,  0.1224 ,0.0634                 ,27->0
    27 ,    42 ,  0.0712 ,  0.1346 ,0.0634                 ,42->27
    27 ,    32 ,  0.1588 ,  0.2221 ,0.0633                 ,32->27
    15 ,    28 ,  0.0853 ,  0.0221 ,0.0632                 ,15->28
     7 ,    47 ,  0.0775 ,  0.1407 ,0.06319999999999999    ,47->7
     5 ,    19 ,  0.0311 ,  0.0942 ,0.0631                 ,19->5
    17 ,    49 ,  0.0782 ,  0.0154 ,0.06280000000000001    ,17->49
    17 ,    22 ,  0.0371 ,  0.0995 ,0.062400000000000004   ,22->17
    16 ,    45 ,  0.0797 ,  0.0176 ,0.06209999999999999    ,16->45
    16 ,    22 ,  0.0295 ,  0.0915 ,0.062                  ,22->16
     8 ,    23 ,  0.0257 ,  0.0875 ,0.061799999999999994   ,23->8
     9 ,    42 ,  0.0147 ,  0.0764 ,0.0617                 ,42->9
    10 ,    21 ,  0.0206 ,  0.0823 ,0.0617                 ,21->10
    27 ,    37 ,  0.2708 ,  0.2092 ,0.06159999999999999    ,27->37
    29 ,    47 ,  0.0878 ,  0.1493 ,0.061499999999999985   ,47->29
    10 ,    30 ,  0.0609 ,  0.1223 ,0.0614                 ,30->10
    22 ,    29 ,  0.0818 ,  0.0204 ,0.061399999999999996   ,22->29
    20 ,    36 ,  0.0817 ,  0.0205 ,0.06119999999999999    ,20->36
     7 ,    21 ,  0.0192 ,  0.0803 ,0.0611                 ,21->7
     1 ,    17 ,  0.0159 ,  0.0769 ,0.061                  ,17->1
    20 ,    39 ,  0.0828 ,  0.0218 ,0.061                  ,20->39
    18 ,    38 ,  0.0769 ,  0.016  ,0.060899999999999996   ,18->38
     6 ,    24 ,  0.0213 ,  0.0821 ,0.06080000000000001    ,24->6
     5 ,    20 ,  0.0219 ,  0.0826 ,0.060700000000000004   ,20->5
    25 ,    31 ,  0.0307 ,  0.0914 ,0.06069999999999999    ,31->25
     4 ,    21 ,  0.0187 ,  0.0793 ,0.060599999999999994   ,21->4
     4 ,    16 ,  0.0171 ,  0.0776 ,0.0605                 ,16->4
    46 ,    49 ,  0.15   ,  0.0897 ,0.06029999999999999    ,46->49
    15 ,    38 ,  0.0867 ,  0.0266 ,0.0601                 ,15->38
    10 ,    11 ,  0.8054 ,  0.8654 ,0.05999999999999994    ,11->10
     5 ,    33 ,  0.0488 ,  0.1086 ,0.0598                 ,33->5
     4 ,    20 ,  0.0161 ,  0.0757 ,0.0596                 ,20->4
    28 ,    32 ,  0.0724 ,  0.1319 ,0.05949999999999998    ,32->28
     2 ,    28 ,  0.1666 ,  0.1072 ,0.059399999999999994   ,2->28
     0 ,    49 ,  0.0525 ,  0.1117 ,0.059199999999999996   ,49->0
     0 ,     6 ,  0.1385 ,  0.0796 ,0.05890000000000001    ,0->6
     8 ,    47 ,  0.0701 ,  0.129  ,0.05890000000000001    ,47->8
    14 ,    30 ,  0.0596 ,  0.1185 ,0.058899999999999994   ,30->14
     1 ,    25 ,  0.0971 ,  0.0384 ,0.05870000000000001    ,1->25
     7 ,    42 ,  0.026  ,  0.0847 ,0.0587                 ,42->7
    13 ,    40 ,  0.0403 ,  0.099  ,0.0587                 ,40->13
     1 ,    23 ,  0.0363 ,  0.0948 ,0.058499999999999996   ,23->1
    18 ,    29 ,  0.077  ,  0.0187 ,0.0583                 ,18->29
    22 ,    49 ,  0.0715 ,  0.0136 ,0.05789999999999999    ,22->49
     5 ,    21 ,  0.0174 ,  0.0751 ,0.0577                 ,21->5
    21 ,    35 ,  0.0791 ,  0.0214 ,0.0577                 ,21->35
     8 ,    48 ,  0.074  ,  0.1315 ,0.05750000000000001    ,48->8
    21 ,    25 ,  0.0704 ,  0.0131 ,0.057300000000000004   ,21->25
    22 ,    37 ,  0.0811 ,  0.0238 ,0.057300000000000004   ,22->37
     5 ,    41 ,  0.031  ,  0.0882 ,0.0572                 ,41->5
    43 ,    44 ,  0.1911 ,  0.1339 ,0.0572                 ,43->44
    25 ,    33 ,  0.0694 ,  0.1266 ,0.05719999999999999    ,33->25
    18 ,    28 ,  0.073  ,  0.0159 ,0.0571                 ,18->28
    12 ,    34 ,  0.0759 ,  0.1329 ,0.056999999999999995   ,34->12
     3 ,    18 ,  0.0199 ,  0.0768 ,0.05689999999999999    ,18->3
    12 ,    33 ,  0.0496 ,  0.1063 ,0.05670000000000001    ,33->12
     3 ,    15 ,  0.029  ,  0.0857 ,0.0567                 ,15->3
    27 ,    48 ,  0.1131 ,  0.1697 ,0.056599999999999984   ,48->27
    14 ,    31 ,  0.0678 ,  0.1243 ,0.056499999999999995   ,31->14
     7 ,    19 ,  0.045  ,  0.1014 ,0.056400000000000006   ,19->7
    13 ,    46 ,  0.1158 ,  0.172  ,0.056199999999999986   ,46->13
     4 ,    47 ,  0.0573 ,  0.1134 ,0.056100000000000004   ,47->4
     4 ,    24 ,  0.0181 ,  0.0742 ,0.0561                 ,24->4
    11 ,    30 ,  0.0474 ,  0.1035 ,0.0561                 ,30->11
    15 ,    29 ,  0.0717 ,  0.0161 ,0.0556                 ,15->29
     6 ,    36 ,  0.1699 ,  0.1144 ,0.055499999999999994   ,6->36
    22 ,    48 ,  0.0761 ,  0.0207 ,0.055400000000000005   ,22->48
     2 ,    27 ,  0.2218 ,  0.2771 ,0.055300000000000016   ,27->2
    16 ,    25 ,  0.0709 ,  0.0157 ,0.055200000000000006   ,16->25
     2 ,    17 ,  0.0294 ,  0.0846 ,0.0552                 ,17->2
    22 ,    45 ,  0.0669 ,  0.012  ,0.054900000000000004   ,22->45
    17 ,    27 ,  0.0721 ,  0.0172 ,0.0549                 ,17->27
    17 ,    48 ,  0.0721 ,  0.0172 ,0.0549                 ,17->48
    16 ,    27 ,  0.076  ,  0.0212 ,0.0548                 ,16->27
    11 ,    20 ,  0.0167 ,  0.0714 ,0.054700000000000006   ,20->11
    30 ,    34 ,  0.1512 ,  0.2053 ,0.05410000000000001    ,34->30
    11 ,    31 ,  0.0482 ,  0.1019 ,0.053700000000000005   ,31->11
     1 ,     9 ,  0.1349 ,  0.0812 ,0.0537                 ,1->9
     0 ,    48 ,  0.0438 ,  0.0973 ,0.0535                 ,48->0
     6 ,    21 ,  0.0186 ,  0.0716 ,0.053                  ,21->6
    10 ,    20 ,  0.0186 ,  0.0713 ,0.052700000000000004   ,20->10
     5 ,    49 ,  0.0741 ,  0.1268 ,0.0527                 ,49->5
    23 ,    36 ,  0.0687 ,  0.016  ,0.0527                 ,23->36
    12 ,    26 ,  0.0881 ,  0.1407 ,0.052599999999999994   ,26->12
    13 ,    49 ,  0.1202 ,  0.1727 ,0.05249999999999999    ,49->13
     9 ,    39 ,  0.1438 ,  0.0914 ,0.052400000000000016   ,9->39
     4 ,    15 ,  0.026  ,  0.0781 ,0.05210000000000001    ,15->4
    16 ,    29 ,  0.0721 ,  0.02   ,0.052099999999999994   ,16->29
     5 ,    34 ,  0.0645 ,  0.1165 ,0.052000000000000005   ,34->5
     4 ,    38 ,  0.144  ,  0.092  ,0.05199999999999999    ,4->38
     5 ,    40 ,  0.0286 ,  0.0804 ,0.0518                 ,40->5
    12 ,    48 ,  0.0846 ,  0.1363 ,0.05170000000000001    ,48->12
    26 ,    38 ,  0.2193 ,  0.1677 ,0.05160000000000001    ,26->38
    30 ,    37 ,  0.125  ,  0.0734 ,0.05159999999999999    ,30->37
     7 ,    44 ,  0.0359 ,  0.0873 ,0.0514                 ,44->7
    30 ,    31 ,  0.1768 ,  0.1255 ,0.05130000000000001    ,30->31
    15 ,    37 ,  0.0788 ,  0.0276 ,0.051199999999999996   ,15->37
     6 ,    34 ,  0.0608 ,  0.1117 ,0.050899999999999994   ,34->6
     3 ,    23 ,  0.0253 ,  0.0761 ,0.0508                 ,23->3
     8 ,    21 ,  0.0167 ,  0.0671 ,0.05040000000000001    ,21->8
     7 ,    16 ,  0.0433 ,  0.0936 ,0.050300000000000004   ,16->7
     1 ,    32 ,  0.0863 ,  0.1365 ,0.05020000000000001    ,32->1
    21 ,    33 ,  0.0695 ,  0.0193 ,0.05020000000000001    ,21->33
     8 ,     9 ,  0.4439 ,  0.3938 ,0.05010000000000003    ,8->9
    17 ,    19 ,  0.1212 ,  0.0712 ,0.05                   ,17->19
     9 ,    43 ,  0.0195 ,  0.0693 ,0.0498                 ,43->9
     0 ,    45 ,  0.0598 ,  0.1093 ,0.049499999999999995   ,45->0
     3 ,    13 ,  0.2564 ,  0.2071 ,0.04930000000000001    ,3->13
    14 ,    36 ,  0.3974 ,  0.4466 ,0.04920000000000002    ,36->14
     3 ,    24 ,  0.016  ,  0.0646 ,0.048600000000000004   ,24->3
    45 ,    46 ,  0.1868 ,  0.1382 ,0.048600000000000004   ,45->46
     7 ,    43 ,  0.0265 ,  0.075  ,0.0485                 ,43->7
     8 ,    43 ,  0.0215 ,  0.0699 ,0.048400000000000006   ,43->8
    18 ,    49 ,  0.0616 ,  0.0132 ,0.0484                 ,18->49
    26 ,    41 ,  0.0498 ,  0.098  ,0.04820000000000001    ,41->26
    21 ,    36 ,  0.0669 ,  0.0189 ,0.048                  ,21->36
     2 ,    25 ,  0.0982 ,  0.0504 ,0.047799999999999995   ,2->25
     9 ,    32 ,  0.0397 ,  0.0875 ,0.047799999999999995   ,32->9
     2 ,    47 ,  0.0893 ,  0.137  ,0.047700000000000006   ,47->2
    41 ,    42 ,  0.0999 ,  0.1476 ,0.047700000000000006   ,42->41
    15 ,    27 ,  0.0768 ,  0.0291 ,0.04769999999999999    ,15->27
     6 ,    49 ,  0.0626 ,  0.1102 ,0.0476                 ,49->6
    15 ,    46 ,  0.0774 ,  0.0298 ,0.047599999999999996   ,15->46
     9 ,    23 ,  0.0235 ,  0.071  ,0.047499999999999994   ,23->9
     3 ,    19 ,  0.0211 ,  0.0685 ,0.047400000000000005   ,19->3
     6 ,    33 ,  0.0504 ,  0.0977 ,0.047299999999999995   ,33->6
     6 ,    37 ,  0.0447 ,  0.0918 ,0.04710000000000001    ,37->6
    17 ,    37 ,  0.0627 ,  0.0156 ,0.0471                 ,17->37
    28 ,    45 ,  0.0325 ,  0.0796 ,0.0471                 ,45->28
     1 ,     6 ,  0.1405 ,  0.0937 ,0.04680000000000001    ,1->6
     6 ,    41 ,  0.0296 ,  0.0761 ,0.0465                 ,41->6
     8 ,    24 ,  0.0213 ,  0.0675 ,0.046200000000000005   ,24->8
     7 ,    32 ,  0.0878 ,  0.1337 ,0.04590000000000001    ,32->7
     9 ,    36 ,  0.1404 ,  0.0945 ,0.045899999999999996   ,9->36
    19 ,    25 ,  0.0635 ,  0.0176 ,0.045899999999999996   ,19->25
    19 ,    26 ,  0.0653 ,  0.0202 ,0.0451                 ,19->26
     0 ,    16 ,  0.0155 ,  0.0604 ,0.0449                 ,16->0
    23 ,    28 ,  0.0646 ,  0.0199 ,0.044700000000000004   ,23->28
    26 ,    31 ,  0.0388 ,  0.0833 ,0.0445                 ,31->26
    15 ,    22 ,  0.0279 ,  0.0722 ,0.0443                 ,22->15
     3 ,    21 ,  0.0157 ,  0.0599 ,0.0442                 ,21->3
     6 ,    29 ,  0.0936 ,  0.1378 ,0.0442                 ,29->6
    19 ,    38 ,  0.0643 ,  0.0201 ,0.044199999999999996   ,19->38
    26 ,    40 ,  0.0476 ,  0.0917 ,0.0441                 ,40->26
     7 ,    20 ,  0.0185 ,  0.0621 ,0.0436                 ,20->7
     9 ,    48 ,  0.0503 ,  0.0939 ,0.0436                 ,48->9
     4 ,    48 ,  0.0473 ,  0.0903 ,0.043000000000000003   ,48->4
     8 ,    49 ,  0.0607 ,  0.1037 ,0.043000000000000003   ,49->8
    20 ,    27 ,  0.0628 ,  0.0199 ,0.042899999999999994   ,20->27
    16 ,    47 ,  0.065  ,  0.0223 ,0.0427                 ,16->47
     9 ,    27 ,  0.0713 ,  0.1138 ,0.042499999999999996   ,27->9
     5 ,    29 ,  0.11   ,  0.1523 ,0.04229999999999999    ,29->5
    41 ,    43 ,  0.0724 ,  0.1145 ,0.0421                 ,43->41
     9 ,    21 ,  0.0134 ,  0.0554 ,0.041999999999999996   ,21->9
    17 ,    47 ,  0.0624 ,  0.0204 ,0.041999999999999996   ,17->47
     7 ,    41 ,  0.0319 ,  0.0737 ,0.041800000000000004   ,41->7
    19 ,    28 ,  0.0635 ,  0.0217 ,0.041800000000000004   ,19->28
     3 ,    20 ,  0.0154 ,  0.0571 ,0.0417                 ,20->3
     2 ,    16 ,  0.028  ,  0.0696 ,0.0416                 ,16->2
    16 ,    28 ,  0.0628 ,  0.0212 ,0.0416                 ,16->28
     7 ,    15 ,  0.0467 ,  0.0882 ,0.0415                 ,15->7
    38 ,    45 ,  0.0531 ,  0.0946 ,0.0415                 ,45->38
     9 ,    44 ,  0.0253 ,  0.0668 ,0.041499999999999995   ,44->9
    20 ,    38 ,  0.0633 ,  0.0218 ,0.041499999999999995   ,20->38
    38 ,    46 ,  0.0528 ,  0.0943 ,0.041499999999999995   ,46->38
     1 ,    47 ,  0.0782 ,  0.1194 ,0.0412                 ,47->1
    23 ,    38 ,  0.0593 ,  0.0181 ,0.0412                 ,23->38
    24 ,    37 ,  0.0623 ,  0.0215 ,0.0408                 ,24->37
    20 ,    26 ,  0.0554 ,  0.0146 ,0.040799999999999996   ,20->26
    32 ,    33 ,  0.2626 ,  0.222  ,0.0406                 ,32->33
     0 ,     5 ,  0.1324 ,  0.0919 ,0.040499999999999994   ,0->5
     5 ,    37 ,  0.0581 ,  0.0986 ,0.040499999999999994   ,37->5
     9 ,    16 ,  0.0369 ,  0.0774 ,0.040499999999999994   ,16->9
     6 ,    20 ,  0.0198 ,  0.0602 ,0.04039999999999999    ,20->6
     3 ,     4 ,  0.1813 ,  0.2215 ,0.040200000000000014   ,4->3
     9 ,    29 ,  0.0747 ,  0.1149 ,0.0402                 ,29->9
     1 ,    29 ,  0.0963 ,  0.0563 ,0.039999999999999994   ,1->29
    19 ,    29 ,  0.0639 ,  0.0239 ,0.039999999999999994   ,19->29
     9 ,    45 ,  0.0609 ,  0.1008 ,0.0399                 ,45->9
    23 ,    27 ,  0.0733 ,  0.0336 ,0.039700000000000006   ,23->27
    28 ,    33 ,  0.0773 ,  0.1169 ,0.03960000000000001    ,33->28
     1 ,     7 ,  0.1984 ,  0.2379 ,0.03950000000000001    ,7->1
    12 ,    40 ,  0.0347 ,  0.0742 ,0.0395                 ,40->12
    24 ,    38 ,  0.0587 ,  0.0193 ,0.039400000000000004   ,24->38
     3 ,    38 ,  0.1015 ,  0.0622 ,0.03930000000000001    ,3->38
    22 ,    32 ,  0.0635 ,  0.0242 ,0.0393                 ,22->32
    16 ,    46 ,  0.0614 ,  0.0223 ,0.0391                 ,16->46
    26 ,    44 ,  0.0418 ,  0.0809 ,0.0391                 ,44->26
     0 ,    30 ,  0.0302 ,  0.0692 ,0.03899999999999999    ,30->0
    22 ,    33 ,  0.0616 ,  0.0229 ,0.0387                 ,22->33
    24 ,    27 ,  0.0649 ,  0.0262 ,0.0387                 ,24->27
     1 ,     8 ,  0.1342 ,  0.0956 ,0.03860000000000001    ,1->8
    32 ,    34 ,  0.1649 ,  0.1264 ,0.03849999999999998    ,32->34
     4 ,    49 ,  0.0514 ,  0.0897 ,0.0383                 ,49->4
    22 ,    47 ,  0.0638 ,  0.0256 ,0.0382                 ,22->47
     9 ,    24 ,  0.0201 ,  0.0581 ,0.038                  ,24->9
    15 ,    17 ,  0.0502 ,  0.0882 ,0.038                  ,17->15
     8 ,    16 ,  0.0348 ,  0.0727 ,0.0379                 ,16->8
     4 ,    42 ,  0.0306 ,  0.0684 ,0.0378                 ,42->4
     5 ,     9 ,  0.4308 ,  0.4684 ,0.03759999999999997    ,9->5
     0 ,    44 ,  0.0292 ,  0.0666 ,0.0374                 ,44->0
     2 ,    29 ,  0.1165 ,  0.0792 ,0.0373                 ,2->29
    29 ,    38 ,  0.1614 ,  0.1241 ,0.037299999999999986   ,29->38
     4 ,    43 ,  0.0285 ,  0.0655 ,0.037000000000000005   ,43->4
     0 ,    37 ,  0.0534 ,  0.0903 ,0.0369                 ,37->0
     0 ,    42 ,  0.0234 ,  0.0603 ,0.0369                 ,42->0
    23 ,    29 ,  0.0572 ,  0.0203 ,0.0369                 ,23->29
     7 ,    25 ,  0.084  ,  0.0472 ,0.036800000000000006   ,7->25
    18 ,    27 ,  0.0572 ,  0.0207 ,0.036500000000000005   ,18->27
    19 ,    22 ,  0.0212 ,  0.0576 ,0.0364                 ,22->19
    21 ,    29 ,  0.0539 ,  0.0178 ,0.03610000000000001    ,21->29
    21 ,    39 ,  0.057  ,  0.0209 ,0.03610000000000001    ,21->39
    16 ,    48 ,  0.0579 ,  0.022  ,0.0359                 ,16->48
     4 ,    13 ,  0.1919 ,  0.156  ,0.03589999999999999    ,4->13
    27 ,    33 ,  0.1148 ,  0.1506 ,0.03580000000000001    ,33->27
     2 ,    37 ,  0.1256 ,  0.0898 ,0.035799999999999985   ,2->37
     1 ,    42 ,  0.0498 ,  0.0854 ,0.03560000000000001    ,42->1
    15 ,    45 ,  0.0592 ,  0.0237 ,0.035500000000000004   ,15->45
     5 ,    46 ,  0.0712 ,  0.1065 ,0.0353                 ,46->5
    15 ,    32 ,  0.0565 ,  0.0213 ,0.0352                 ,15->32
    33 ,    40 ,  0.0597 ,  0.0249 ,0.034800000000000005   ,33->40
    12 ,    20 ,  0.0187 ,  0.0535 ,0.0348                 ,20->12
    20 ,    37 ,  0.0592 ,  0.0245 ,0.0347                 ,20->37
     7 ,    28 ,  0.1346 ,  0.0999 ,0.034699999999999995   ,7->28
    22 ,    34 ,  0.054  ,  0.0195 ,0.0345                 ,22->34
    24 ,    26 ,  0.0623 ,  0.028  ,0.0343                 ,24->26
     0 ,    34 ,  0.0465 ,  0.0807 ,0.034199999999999994   ,34->0
     1 ,    18 ,  0.0217 ,  0.0558 ,0.034100000000000005   ,18->1
