epoch,score,selection_eligible,agreement,agreement_score,agreement_weight,agreement_coverage,dir_margin,margin_score,density_factor,skeleton_overlap,actual_pair_density,target_pair_density,global_asymmetry,asymmetry_score,high_conf_edges,k,guardrail_pass,guardrail_reason,guardrail_density_ratio,guardrail_required_skeleton_overlap,guardrail_peak_skeleton_overlap,adj_offdiag_mean,adj_offdiag_std,adj_offdiag_cv,adj_offdiag_min,adj_offdiag_max,adj_in_degree_mean,adj_in_degree_std,adj_parent_entropy_mean,adj_eff_parents_mean,adj_eff_parents_p90,adj_ungated_asym_mean,adj_ungated_asym_median,adj_ungated_asym_p90,noise_probe_available,noise_probe_timestep,noise_probe_patel_loss,noise_probe_blend50_loss,noise_probe_learned_loss,noise_probe_delta_blend50_minus_patel,noise_probe_delta_learned_minus_patel,noise_probe_ratio_blend50_over_patel,noise_probe_ratio_learned_over_patel,noise_probe_guide_l1_mean,msg_dir_mode_is_causal,msg_dir_raw_diag_mean,msg_dir_raw_offdiag_mean,msg_dir_raw_diag_gap,msg_dir_causal_diag_mean,msg_dir_causal_offdiag_mean,msg_dir_causal_diag_gap,msg_dir_active_diag_gap,msg_dir_gap_delta_causal_minus_raw,msg_dir_prefers_causal,directional_kappa_gate_enabled,directional_kappa_gate_quantile,directional_kappa_gate_threshold,directional_kappa_gate_pair_frac,main_loss_weight,directional_loss_active,directional_loss_end_epoch,directional_loss_deactivated_from_epoch,dir_loss_raw,dir_loss_weighted,dir_lambda_current,direction_lr_multiplier,direction_lr_current,direction_branch_frozen,freeze_direction_after_epoch,direction_branch_frozen_from_epoch,cross_loss_raw,cross_loss_weighted,ortho_loss_raw,ortho_loss_weighted,parent_entropy_raw,parent_entropy_weighted,parent_entropy_lambda_current,parent_cap_raw,parent_cap_weighted,parent_cap_lambda_current,parent_cap_target,ungated_symmetry_raw,ungated_symmetry_weighted,ungated_symmetry_lambda_current,gradient_alignment_probe_enabled,gradient_alignment_probe_seed,grad_probe_available,grad_probe_lambda_dir,grad_probe_diff_norm,grad_probe_dir_norm_raw,grad_probe_dir_norm_weighted,grad_probe_dir_to_diff_norm_ratio,grad_probe_cosine,grad_probe_cosine_negative
11,0.442218,1,1.000000,0.700000,0.000000,0.400000,0.130262,0.478510,0.000000,1.000000,0.000000,0.500000,0.065131,0.408832,2,5,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.089550,0.102987,1.150061,0.000000,0.273619,0.358198,0.121147,0.482689,1.953734,1.992649,0.000000,0.000000,0.000000,1.000000,500.000000,1.247221,1.252020,1.250260,0.004799,0.003038,1.003848,1.002436,0.163615,0.000000,0.156714,0.196984,-0.040270,0.166499,0.200038,-0.033539,-0.040270,0.006731,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,0.000000,0.004510,0.106237,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.045084,0.003371,0.482689,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.106237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,0.436891,1,1.000000,0.700000,0.000000,0.400000,0.121540,0.451164,0.000000,1.000000,0.000000,0.500000,0.060770,0.384333,2,5,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.086651,0.098696,1.139009,0.000000,0.258731,0.346603,0.113966,0.484848,1.959182,1.990417,0.000000,0.000000,0.000000,1.000000,500.000000,1.281487,1.274440,1.277206,-0.007048,-0.004281,0.994500,0.996659,0.165935,0.000000,0.158993,0.197166,-0.038173,0.166092,0.199861,-0.033769,-0.038173,0.004404,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,0.000000,0.000000,0.496681,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.029727,0.003854,0.484848,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.496681,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,0.430131,1,1.000000,0.700000,0.000000,0.400000,0.110827,0.416381,0.000000,1.000000,0.000000,0.500000,0.055413,0.353486,2,5,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.082512,0.093078,1.128052,0.000000,0.253824,0.330049,0.107745,0.489620,1.971817,1.995320,0.000000,0.000000,0.000000,1.000000,500.000000,1.251434,1.251685,1.251379,0.000251,-0.000054,1.000201,0.999957,0.169461,0.000000,0.160329,0.198377,-0.038047,0.165527,0.202100,-0.036573,-0.038047,0.001475,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,0.000000,0.000001,0.499983,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.016376,0.004301,0.489620,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.499983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,0.425490,1,1.000000,0.700000,0.000000,0.400000,0.103674,0.392452,0.000000,1.000000,0.000000,0.500000,0.051837,0.332449,2,5,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.081356,0.091139,1.120250,0.000000,0.250410,0.325425,0.102871,0.490664,1.974580,1.995443,0.000000,0.000000,0.000000,1.000000,500.000000,1.269682,1.267367,1.265458,-0.002314,-0.004224,0.998177,0.996673,0.170352,0.000000,0.161318,0.199233,-0.037914,0.164694,0.201969,-0.037276,-0.037914,0.000639,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,0.000000,0.000005,0.500000,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.007033,0.004390,0.490664,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,0.422755,1,1.000000,0.700000,0.000000,0.400000,0.099528,0.378333,0.000000,1.000000,0.000000,0.500000,0.049764,0.320102,2,5,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.079991,0.089192,1.115016,0.000000,0.244769,0.319965,0.098375,0.491468,1.976762,1.997203,0.000000,0.000000,0.000000,1.000000,500.000000,1.251764,1.251297,1.250440,-0.000467,-0.001324,0.999627,0.998942,0.171459,0.000000,0.162563,0.200242,-0.037679,0.164081,0.202432,-0.038350,-0.037679,-0.000672,0.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,0.000000,0.000000,0.500000,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.003098,0.002363,0.491468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,0.418816,1,1.000000,0.700000,0.000000,0.400000,0.093642,0.357979,0.000000,1.000000,0.000000,0.500000,0.046821,0.302381,2,5,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.078010,0.086496,1.108787,0.000000,0.234959,0.312039,0.093674,0.492448,1.979379,1.998442,0.000000,0.000000,0.000000,1.000000,500.000000,1.272412,1.272596,1.266746,0.000184,-0.005666,1.000144,0.995547,0.173155,0.000000,0.163191,0.200919,-0.037728,0.164329,0.203059,-0.038731,-0.037728,-0.001003,0.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,0.000000,0.000000,0.500000,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.001687,0.001134,0.492448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,0.415159,1,1.000000,0.700000,0.000000,0.400000,0.088259,0.339064,0.000000,1.000000,0.000000,0.500000,0.044129,0.285991,2,5,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.075745,0.083752,1.105703,0.000000,0.230115,0.302982,0.089871,0.493025,1.980926,1.999120,0.000000,0.000000,0.000000,1.000000,500.000000,1.250593,1.247645,1.250434,-0.002947,-0.000159,0.997643,0.999873,0.175163,0.000000,0.163785,0.201563,-0.037778,0.164167,0.203369,-0.039202,-0.037778,-0.001424,0.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,0.000000,0.000000,0.500000,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.001033,0.000661,0.493025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,0.413820,1,1.000000,0.700000,0.000000,0.400000,0.086306,0.332132,0.000000,1.000000,0.000000,0.500000,0.043153,0.280003,2,5,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.074688,0.082932,1.110389,0.000000,0.228747,0.298750,0.090588,0.492686,1.979989,1.997644,0.000000,0.000000,0.000000,1.000000,500.000000,1.263635,1.266592,1.262323,0.002957,-0.001312,1.002340,0.998962,0.176205,0.000000,0.163700,0.201392,-0.037693,0.163855,0.202674,-0.038819,-0.037693,-0.001126,0.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,0.000000,0.000001,0.500000,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.000706,0.000432,0.492686,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,0.410799,1,1.000000,0.700000,0.000000,0.400000,0.081935,0.316487,0.000000,1.000000,0.000000,0.500000,0.040967,0.266521,2,5,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.073337,0.081165,1.106743,0.000000,0.223911,0.293348,0.088057,0.493631,1.982539,1.997917,0.000000,0.000000,0.000000,1.000000,500.000000,1.268082,1.268945,1.266712,0.000863,-0.001370,1.000681,0.998920,0.177426,0.000000,0.164494,0.201747,-0.037253,0.163368,0.202918,-0.039550,-0.037253,-0.002297,0.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,0.000000,0.000000,0.500000,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.000504,0.000300,0.493631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.409536,1,1.000000,0.700000,0.000000,0.400000,0.080120,0.309940,0.000000,1.000000,0.000000,0.500000,0.040060,0.260892,2,5,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.073565,0.081163,1.103288,0.000000,0.223960,0.294260,0.086806,0.493972,1.983469,1.998484,0.000000,0.000000,0.000000,1.000000,500.000000,1.276376,1.278269,1.272502,0.001894,-0.003873,1.001484,0.996965,0.177163,0.000000,0.164332,0.202069,-0.037737,0.163393,0.203150,-0.039758,-0.037737,-0.002021,0.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,0.000000,0.000000,0.500000,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.000381,0.000218,0.493972,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
