epoch,score,selection_eligible,score_mode,agreement,agreement_score,agreement_soft_score,agreement_mode,effective_agreement_score,agreement_weight,agreement_coverage,dir_margin,margin_score,density_factor,skeleton_overlap,actual_pair_density,target_pair_density,fixed_support_mask_active,global_asymmetry,asymmetry_score,causal_lag_reverse_minus_forward,score_legacy_total,score_term_legacy_skeleton,score_term_legacy_agreement,score_term_legacy_density,score_term_legacy_margin,score_term_legacy_asymmetry,score_composite_total,score_term_composite_soft_agreement,score_term_composite_causal_lag,score_term_composite_margin_penalty,score_entropy_composite_total,score_term_entropy_composite_soft_agreement,score_term_entropy_composite_causal_lag_mean,score_term_entropy_composite_causal_lag_std_penalty,score_term_entropy_composite_parent_entropy_penalty,score_term_entropy_composite_margin_penalty,composite_soft_agreement_weight,composite_causal_lag_weight,composite_margin_penalty_weight,composite_causal_lag_std_penalty_weight,composite_parent_entropy_penalty_weight,score_primary_total,score_term_primary_causal_lag,score_term_primary_soft_tiebreak,score_term_primary_skeleton_tiebreak,score_term_primary_density_tiebreak,primary_causal_lag_weight,primary_soft_tiebreak_weight,primary_skeleton_tiebreak_weight,primary_density_tiebreak_weight,selection_causal_lag_delta_mean,selection_causal_lag_delta_std,selection_parent_entropy_mean,high_conf_edges,k,guardrail_pass,guardrail_reason,guardrail_density_ratio,guardrail_required_skeleton_overlap,guardrail_peak_skeleton_overlap,adj_offdiag_mean,adj_offdiag_std,adj_offdiag_cv,adj_offdiag_min,adj_offdiag_max,adj_in_degree_mean,adj_in_degree_std,adj_parent_entropy_mean,adj_eff_parents_mean,adj_eff_parents_p90,adj_ungated_asym_mean,adj_ungated_asym_median,adj_ungated_asym_p90,dir_active_pair_frac,dir_prior_q_threshold,dir_active_reliability_mean,dir_active_reliability_median,dir_active_reliability_p10,dir_active_abs_margin_mean,dir_active_abs_margin_median,dir_active_abs_margin_p90,dir_active_abs_margin_near0_frac,dir_active_signed_raw_mean,dir_active_signed_raw_median,dir_active_signed_raw_p10,dir_active_signed_raw_frac_pos,dir_active_signed_gate_mean,dir_active_signed_gate_median,dir_active_signed_gate_p10,dir_active_signed_gate_frac_pos,noise_probe_available,noise_probe_timestep,noise_probe_patel_loss,noise_probe_blend50_loss,noise_probe_learned_loss,noise_probe_delta_blend50_minus_patel,noise_probe_delta_learned_minus_patel,noise_probe_ratio_blend50_over_patel,noise_probe_ratio_learned_over_patel,noise_probe_guide_l1_mean,msg_dir_mode_is_causal,msg_dir_raw_diag_mean,msg_dir_raw_offdiag_mean,msg_dir_raw_diag_gap,msg_dir_causal_diag_mean,msg_dir_causal_offdiag_mean,msg_dir_causal_diag_gap,msg_dir_active_diag_gap,msg_dir_gap_delta_causal_minus_raw,msg_dir_prefers_causal,directional_kappa_gate_enabled,directional_kappa_gate_quantile,directional_kappa_gate_threshold,directional_kappa_gate_pair_frac,main_loss_weight,directional_loss_active,directional_loss_end_epoch,directional_loss_deactivated_from_epoch,dir_loss_raw,dir_loss_weighted,dir_lambda_current,direction_lr_multiplier,direction_lr_current,direction_branch_frozen,freeze_direction_after_epoch,direction_branch_frozen_from_epoch,detach_direction_from_main_active,detach_direction_from_main_after_epoch,direction_from_main_detached_from_epoch,causal_lag_main_raw,causal_lag_main_weight,causal_lag_main_weighted,post_detach_direction_loss_requested,post_detach_direction_active,post_detach_direction_contrast_weight,post_detach_direction_variance_weight,post_detach_direction_parent_entropy_weight,post_detach_direction_raw,post_detach_direction_weighted,ortho_loss_raw,ortho_loss_weighted,parent_entropy_raw,parent_entropy_weighted,parent_entropy_lambda_current,parent_cap_raw,parent_cap_weighted,parent_cap_lambda_current,parent_cap_target,ungated_symmetry_raw,ungated_symmetry_weighted,ungated_symmetry_lambda_current,gradient_alignment_probe_enabled,gradient_alignment_probe_seed,selector_audit_enabled,grad_probe_available,grad_probe_lambda_dir,grad_probe_diff_norm,grad_probe_dir_norm_raw,grad_probe_dir_norm_weighted,grad_probe_dir_to_diff_norm_ratio,grad_probe_cosine,grad_probe_cosine_negative,causal_lag_diag_available,causal_lag_diag_forward_loss,causal_lag_diag_reverse_loss,causal_lag_diag_reverse_minus_forward,causal_lag_diag_forward_over_reverse,causal_lag_diag_prefers_forward,causal_lag_diag_num_lags,post_detach_direction_available,post_detach_direction_batch_count,post_detach_direction_subject_count,post_detach_direction_forward_mean,post_detach_direction_reverse_mean,post_detach_direction_delta_mean,post_detach_direction_delta_var,post_detach_direction_parent_entropy,selection_causal_lag_subject_count,selection_causal_lag_forward_mean,selection_causal_lag_forward_std,selection_causal_lag_reverse_mean,selection_causal_lag_reverse_std,selection_causal_lag_delta_min,selection_causal_lag_delta_max,selection_causal_lag_prefers_forward_frac,selection_causal_lag_num_lags,selector_audit_precision,selector_audit_recall,selector_audit_f1,selector_audit_tie_count,selector_audit_margin_mean,selector_audit_margin_median,selector_audit_margin_std,selector_audit_margin_p90,selector_audit_margin_max,selector_audit_margin_lt_1e3_frac,selector_audit_margin_lt_1e2_frac,selector_audit_gt_signed_margin_mean,selector_audit_gt_signed_margin_median,selector_audit_gt_signed_margin_p10,selector_audit_gt_signed_margin_p90,selector_audit_gt_signed_margin_frac_pos,selector_audit_failure_mode,selector_audit_strict_precision_eps_0,selector_audit_strict_recall_eps_0,selector_audit_strict_f1_eps_0,selector_audit_strict_pred_count_eps_0,selector_audit_strict_precision_eps_0p0003,selector_audit_strict_recall_eps_0p0003,selector_audit_strict_f1_eps_0p0003,selector_audit_strict_pred_count_eps_0p0003,selector_audit_strict_precision_eps_0p1,selector_audit_strict_recall_eps_0p1,selector_audit_strict_f1_eps_0p1,selector_audit_strict_pred_count_eps_0p1
1,0.022224,1,causal_lag_primary,0.416667,0.444444,0.452355,hard_coverage,0.444444,0.000000,0.666667,0.073048,0.284152,1.000000,1.000000,0.171429,0.171429,1,0.012523,0.083290,-0.000393,0.596787,0.350000,0.000000,0.200000,0.042623,0.004165,0.086425,0.090471,-0.000393,0.003652,0.086819,0.090471,0.000000,0.000000,0.000000,0.003652,0.200000,1.000000,0.050000,0.000000,0.000000,0.022224,-0.000393,-0.002382,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.295202,12,18,1,pass,1.000000,0.500000,0.000000,0.022516,0.053689,2.384479,0.000000,0.226521,0.315223,0.134896,0.295202,2.273329,3.644896,0.000000,0.000000,0.000000,0.106667,0.115147,1.000000,1.000000,1.000000,0.638515,0.311670,1.148330,0.000000,-0.218565,-0.125352,-1.104679,0.416667,-0.083435,-0.062592,-0.502272,0.416667,1.000000,500.000000,1.572521,1.573477,1.571291,0.000956,-0.001231,1.000608,0.999217,0.061456,0.000000,0.229485,0.119715,0.109771,0.229902,0.117445,0.112457,0.109771,0.002686,1.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,1.275647,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0,8,-1,0.642638,0.250000,0.166347,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.061002,0.000000,0.295202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.642638,0.642245,-0.000393,1.000613,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.085714,0.500000,0.146341,87.000000,0.012523,0.000000,0.037686,0.035919,0.206442,0.828571,0.838095,-0.011979,0.001786,-0.148415,0.115538,0.500000,weak_asymmetry,0.500000,0.500000,0.500000,18.000000,0.500000,0.500000,0.500000,18.000000,0.500000,0.166667,0.250000,6.000000
2,0.022794,1,causal_lag_primary,0.416667,0.444444,0.452355,hard_coverage,0.444444,0.000000,0.666667,0.072751,0.283060,1.000000,1.000000,0.171429,0.171429,1,0.012472,0.082953,0.000176,0.596607,0.350000,0.000000,0.200000,0.042459,0.004148,0.087009,0.090471,0.000176,0.003638,0.086834,0.090471,0.000000,0.000000,0.000000,0.003638,0.200000,1.000000,0.050000,0.000000,0.000000,0.022794,0.000176,-0.002382,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.295517,12,18,1,pass,1.000000,0.850000,1.000000,0.021724,0.051821,2.385418,0.000000,0.217714,0.304136,0.128341,0.295517,2.276664,3.678952,0.000000,0.000000,0.000000,0.106667,0.115147,1.000000,1.000000,1.000000,0.647424,0.360305,1.131907,0.000000,-0.192868,-0.140837,-1.131907,0.416667,-0.073374,-0.070288,-0.512381,0.416667,1.000000,500.000000,1.546294,1.544632,1.545926,-0.001662,-0.000367,0.998925,0.999762,0.062256,0.000000,0.229010,0.119913,0.109097,0.231007,0.117307,0.113700,0.109097,0.004603,1.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,1.245976,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0,8,-1,0.642335,0.250000,0.166016,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.060314,0.000000,0.295517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.642335,0.642511,0.000176,0.999726,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.085714,0.500000,0.146341,87.000000,0.012472,0.000000,0.036008,0.038158,0.191719,0.828571,0.828571,-0.008174,0.005063,-0.144432,0.114199,0.500000,weak_asymmetry,0.500000,0.500000,0.500000,18.000000,0.500000,0.500000,0.500000,18.000000,0.500000,0.166667,0.250000,6.000000
3,0.022933,1,causal_lag_primary,0.416667,0.444444,0.452355,hard_coverage,0.444444,0.000000,0.666667,0.072540,0.282283,1.000000,1.000000,0.171429,0.171429,1,0.012435,0.082714,0.000316,0.596478,0.350000,0.000000,0.200000,0.042343,0.004136,0.087160,0.090471,0.000316,0.003627,0.086844,0.090471,0.000000,0.000000,0.000000,0.003627,0.200000,1.000000,0.050000,0.000000,0.000000,0.022933,0.000316,-0.002382,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.296311,12,18,1,pass,1.000000,0.850000,1.000000,0.021253,0.050755,2.388172,0.000000,0.213758,0.297539,0.124756,0.296311,2.281565,3.694640,0.000000,0.000000,0.000000,0.106667,0.115147,1.000000,1.000000,1.000000,0.646707,0.373556,1.139990,0.000000,-0.145320,-0.140887,-1.015300,0.416667,-0.054677,-0.070311,-0.468112,0.416667,1.000000,500.000000,1.540223,1.542104,1.541636,0.001881,0.001413,1.001221,1.000918,0.062746,0.000000,0.229154,0.119986,0.109168,0.231320,0.117399,0.113921,0.109168,0.004753,1.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,1.205036,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0,8,-1,0.642234,0.250000,0.168903,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.059822,0.000000,0.296311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.642234,0.642550,0.000316,0.999509,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.085714,0.500000,0.146341,87.000000,0.012435,0.000000,0.034988,0.044311,0.185468,0.828571,0.828571,-0.004533,0.005006,-0.133534,0.116545,0.500000,weak_asymmetry,0.500000,0.500000,0.500000,18.000000,0.500000,0.500000,0.500000,18.000000,0.500000,0.166667,0.250000,6.000000
4,0.022480,1,causal_lag_primary,0.416667,0.444444,0.452355,hard_coverage,0.444444,0.000000,0.666667,0.069106,0.269592,1.000000,1.000000,0.171429,0.171429,1,0.011847,0.078815,-0.000137,0.594380,0.350000,0.000000,0.200000,0.040439,0.003941,0.086878,0.090471,-0.000137,0.003455,0.087016,0.090471,0.000000,0.000000,0.000000,0.003455,0.200000,1.000000,0.050000,0.000000,0.000000,0.022480,-0.000137,-0.002382,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.296897,12,18,1,pass,1.000000,0.850000,1.000000,0.021318,0.050679,2.377296,0.000000,0.209258,0.298454,0.122069,0.296897,2.285588,3.710624,0.000000,0.000000,0.000000,0.106667,0.115147,1.000000,1.000000,1.000000,0.618121,0.347349,1.062722,0.000000,-0.123158,-0.107653,-0.911052,0.416667,-0.047671,-0.053768,-0.426431,0.416667,1.000000,500.000000,1.537616,1.539688,1.539226,0.002072,0.001611,1.001348,1.001048,0.062634,0.000000,0.229950,0.119786,0.110164,0.230930,0.117525,0.113405,0.110164,0.003242,1.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,1.178987,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0,8,-1,0.642423,0.250000,0.168951,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.059385,0.000000,0.296897,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.642423,0.642286,-0.000137,1.000214,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.085714,0.500000,0.146341,87.000000,0.011847,0.000000,0.033255,0.042316,0.165488,0.828571,0.838095,-0.001104,0.007531,-0.124120,0.112496,0.500000,weak_asymmetry,0.500000,0.500000,0.500000,18.000000,0.500000,0.500000,0.500000,18.000000,0.500000,0.166667,0.250000,6.000000
5,0.023188,1,causal_lag_primary,0.416667,0.444444,0.452355,hard_coverage,0.444444,0.000000,0.666667,0.064489,0.252383,1.000000,1.000000,0.171429,0.171429,1,0.011055,0.073569,0.000570,0.591536,0.350000,0.000000,0.200000,0.037857,0.003678,0.087817,0.090471,0.000570,0.003224,0.087247,0.090471,0.000000,0.000000,0.000000,0.003224,0.200000,1.000000,0.050000,0.000000,0.000000,0.023188,0.000570,-0.002382,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.298842,12,18,1,pass,1.000000,0.850000,1.000000,0.021086,0.049924,2.367622,0.000000,0.211253,0.295204,0.119004,0.298842,2.296397,3.731708,0.000000,0.000000,0.000000,0.106667,0.115147,1.000000,1.000000,1.000000,0.572427,0.335289,1.076096,0.000000,-0.098094,-0.146483,-0.774196,0.416667,-0.041479,-0.073076,-0.368856,0.416667,1.000000,500.000000,1.535916,1.539870,1.536558,0.003953,0.000642,1.002574,1.000418,0.062859,0.000000,0.230400,0.119712,0.110688,0.231937,0.117713,0.114224,0.110688,0.003537,1.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,1.151642,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0,8,-1,0.641805,0.250000,0.167725,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.059013,0.000000,0.298842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.641805,0.642375,0.000570,0.999112,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.085714,0.500000,0.146341,87.000000,0.011055,0.000000,0.030872,0.039717,0.152674,0.828571,0.828571,-0.002244,0.002895,-0.108886,0.111630,0.500000,weak_asymmetry,0.500000,0.500000,0.500000,18.000000,0.500000,0.500000,0.500000,18.000000,0.600000,0.166667,0.260870,5.000000
6,0.017387,1,causal_lag_primary,0.333333,0.388889,0.358460,hard_coverage,0.388889,0.000000,0.666667,0.058370,0.229329,1.000000,1.000000,0.171429,0.171429,1,0.010006,0.066610,-0.000536,0.587730,0.350000,0.000000,0.200000,0.034399,0.003331,0.068238,0.071692,-0.000536,0.002919,0.068774,0.071692,0.000000,0.000000,0.000000,0.002919,0.200000,1.000000,0.050000,0.000000,0.000000,0.017387,-0.000536,-0.007077,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.299382,12,18,1,pass,1.000000,0.850000,1.000000,0.020309,0.047949,2.360944,0.000000,0.211426,0.284330,0.109835,0.299382,2.299420,3.735275,0.000000,0.000000,0.000000,0.106667,0.115147,1.000000,1.000000,1.000000,0.533069,0.385305,1.197716,0.000000,-0.034705,-0.178357,-0.770512,0.333333,-0.017386,-0.088942,-0.367263,0.333333,1.000000,500.000000,1.538564,1.539358,1.540384,0.000794,0.001820,1.000516,1.001183,0.063631,0.000000,0.232792,0.119998,0.112794,0.231826,0.118053,0.113773,0.112794,0.000979,1.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,1.085908,0.000909,0.001271,1.000000,0.001000,0,-1,-1,0,8,-1,0.641917,0.250000,0.167109,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.058155,0.000458,0.299382,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.001271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.641917,0.641381,-0.000536,1.000835,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.076190,0.444444,0.130081,87.000000,0.010006,0.000000,0.028447,0.042595,0.140754,0.828571,0.857143,0.003068,-0.009304,-0.074179,0.099421,0.444444,weak_asymmetry,0.444444,0.444444,0.444444,18.000000,0.444444,0.444444,0.444444,18.000000,0.500000,0.111111,0.181818,4.000000
7,0.031439,1,causal_lag_primary,0.583333,0.555556,0.643528,hard_coverage,0.555556,0.000000,0.666667,0.048792,0.192728,1.000000,1.000000,0.171429,0.171429,1,0.008364,0.055705,-0.000737,0.581694,0.350000,0.000000,0.200000,0.028909,0.002785,0.125529,0.128706,-0.000737,0.002440,0.126266,0.128706,0.000000,0.000000,0.000000,0.002440,0.200000,1.000000,0.050000,0.000000,0.000000,0.031439,-0.000737,0.007176,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.299676,12,18,1,pass,1.000000,0.850000,1.000000,0.020056,0.047164,2.351598,0.000000,0.211700,0.280785,0.102624,0.299676,2.305461,3.793387,0.000000,0.000000,0.000000,0.106667,0.115147,1.000000,1.000000,1.000000,0.432252,0.353578,1.083751,0.000000,0.193636,0.071371,-0.534549,0.583333,0.087697,0.035664,-0.261087,0.583333,1.000000,500.000000,1.536886,1.536886,1.538121,0.000000,0.001235,1.000000,1.000804,0.063827,0.000000,0.232895,0.120172,0.112724,0.231200,0.118352,0.112848,0.112724,0.000124,1.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.844501,0.002504,0.003141,1.000000,0.001000,0,-1,-1,0,8,-1,0.642284,0.250000,0.167835,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.056587,0.001278,0.299676,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.003141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.642284,0.641547,-0.000737,1.001149,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.095238,0.555556,0.162602,87.000000,0.008364,0.000000,0.026090,0.024376,0.131471,0.838095,0.866667,0.017696,0.008150,-0.046624,0.105349,0.555556,weak_asymmetry,0.555556,0.555556,0.555556,18.000000,0.588235,0.555556,0.571429,17.000000,0.750000,0.166667,0.272727,4.000000
8,0.042209,1,causal_lag_primary,0.916667,0.777778,0.882589,hard_coverage,0.777778,0.000000,0.666667,0.063284,0.247866,1.000000,1.000000,0.171429,0.171429,1,0.010849,0.072199,-0.001920,0.590790,0.350000,0.000000,0.200000,0.037180,0.003610,0.171433,0.176518,-0.001920,0.003164,0.173354,0.176518,0.000000,0.000000,0.000000,0.003164,0.200000,1.000000,0.050000,0.000000,0.000000,0.042209,-0.001920,0.019129,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.296774,12,18,1,pass,1.000000,0.850000,1.000000,0.019631,0.047379,2.413439,0.000000,0.243052,0.274837,0.104871,0.296774,2.292812,3.811015,0.000000,0.000000,0.000000,0.106667,0.115147,1.000000,1.000000,1.000000,0.657791,0.598602,1.148556,0.000000,0.632647,0.598602,0.088445,0.916667,0.295546,0.290506,0.044194,0.916667,1.000000,500.000000,1.521686,1.516026,1.520003,-0.005661,-0.001683,0.996280,0.998894,0.064375,0.000000,0.232407,0.119363,0.113044,0.229261,0.118152,0.111109,0.113044,-0.001935,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.365762,0.003595,0.009294,1.000000,0.001000,0,-1,-1,0,8,-1,0.643064,0.250000,0.168681,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.054594,0.001899,0.296774,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.009294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.643064,0.641144,-0.001920,1.002995,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.133333,0.777778,0.227642,87.000000,0.010849,0.000000,0.031264,0.039186,0.156757,0.838095,0.847619,0.046724,0.048481,-0.011015,0.124149,0.777778,weak_asymmetry,0.777778,0.777778,0.777778,18.000000,0.777778,0.777778,0.777778,18.000000,0.800000,0.222222,0.347826,5.000000
9,0.050601,1,causal_lag_primary,1.000000,0.833333,0.962436,hard_coverage,0.833333,0.000000,0.666667,0.112327,0.421329,1.000000,1.000000,0.171429,0.171429,1,0.019256,0.127673,0.002479,0.619583,0.350000,0.000000,0.200000,0.063199,0.006384,0.189350,0.192487,0.002479,0.005616,0.186871,0.192487,0.000000,0.000000,0.000000,0.005616,0.200000,1.000000,0.050000,0.000000,0.000000,0.050601,0.002479,0.023122,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.283375,12,18,1,pass,1.000000,0.850000,1.000000,0.019505,0.051496,2.640180,0.000000,0.260494,0.273064,0.148863,0.283375,2.222208,3.623207,0.000000,0.000000,0.000000,0.106667,0.115147,1.000000,1.000000,1.000000,1.445123,1.445297,1.477563,0.000000,1.445123,1.445297,1.419702,1.000000,0.618448,0.618544,0.610583,1.000000,1.000000,500.000000,1.489029,1.488673,1.490328,-0.000356,0.001299,0.999761,1.000872,0.065216,0.000000,0.219613,0.115120,0.104493,0.226468,0.117608,0.108860,0.104493,0.004366,1.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.000589,0.002910,0.315882,1.000000,0.001000,0,-1,-1,1,8,9,0.643870,0.250000,0.167501,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.052829,0.002432,0.283375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.315882,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.643870,0.646350,0.002479,0.996164,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.123810,0.722222,0.211382,87.000000,0.019256,0.000000,0.048732,0.115840,0.198282,0.828571,0.847619,0.074694,0.113721,-0.065025,0.186570,0.722222,mixed_or_partial,0.722222,0.722222,0.722222,18.000000,0.722222,0.722222,0.722222,18.000000,0.833333,0.555556,0.666667,12.000000
10,0.055804,1,causal_lag_primary,1.000000,0.833333,0.967592,hard_coverage,0.833333,0.000000,0.666667,0.158333,0.560343,1.000000,1.000000,0.171429,0.171429,1,0.027143,0.179003,0.007425,0.643002,0.350000,0.000000,0.200000,0.084051,0.008950,0.193027,0.193518,0.007425,0.007917,0.185602,0.193518,0.000000,0.000000,0.000000,0.007917,0.200000,1.000000,0.050000,0.000000,0.000000,0.055804,0.007425,0.023380,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.245843,12,18,1,pass,1.000000,0.850000,1.000000,0.019448,0.058403,3.003098,0.000000,0.325221,0.272266,0.190208,0.245843,2.024050,2.955927,0.000000,0.000000,0.000000,0.106667,0.115147,1.000000,1.000000,1.000000,2.996597,2.994146,3.009516,0.000000,2.996597,2.994146,2.983160,1.000000,0.904835,0.904618,0.903615,1.000000,1.000000,500.000000,1.505804,1.503718,1.505324,-0.002086,-0.000480,0.998615,0.999681,0.066266,0.000000,0.198978,0.108252,0.090725,0.217266,0.113570,0.103696,0.090725,0.012970,1.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.000688,0.000521,0.499051,1.000000,0.001000,0,-1,-1,1,8,9,0.646532,0.250000,0.168135,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.051672,0.002803,0.245843,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.499051,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.646532,0.653957,0.007425,0.988646,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.133333,0.777778,0.227642,87.000000,0.027143,0.000000,0.069913,0.142792,0.309182,0.828571,0.838095,0.106157,0.146845,-0.110573,0.276359,0.777778,mixed_or_partial,0.777778,0.777778,0.777778,18.000000,0.777778,0.777778,0.777778,18.000000,0.833333,0.555556,0.666667,12.000000
