epoch,effective_rank,mean_cosine_sim,dead_dims_ratio,feature_std_mean,inter_subject_var,encoder_weight_norm
1,77.216927,0.107287,0.000000,0.946596,0.953172,3.287285
2,76.152863,0.113282,0.000000,0.943965,0.951590,3.286531
3,75.333374,0.153145,0.000000,0.923143,0.911984,3.287579
4,74.958572,0.197497,0.000000,0.899204,0.861987,3.290267
5,74.948273,0.268755,0.000000,0.857793,0.777930,3.295384
6,72.702583,0.361371,0.000000,0.799066,0.668212,3.304008
