epoch,score,selection_eligible,agreement,agreement_score,agreement_weight,agreement_coverage,dir_margin,margin_score,density_factor,skeleton_overlap,actual_pair_density,target_pair_density,global_asymmetry,asymmetry_score,high_conf_edges,k,guardrail_pass,guardrail_reason,guardrail_density_ratio,guardrail_required_skeleton_overlap,guardrail_peak_skeleton_overlap,adj_offdiag_mean,adj_offdiag_std,adj_offdiag_cv,adj_offdiag_min,adj_offdiag_max,adj_in_degree_mean,adj_in_degree_std,adj_parent_entropy_mean,adj_eff_parents_mean,adj_eff_parents_p90,adj_ungated_asym_mean,adj_ungated_asym_median,adj_ungated_asym_p90,dir_active_pair_frac,dir_prior_q_threshold,dir_active_reliability_mean,dir_active_reliability_median,dir_active_reliability_p10,dir_active_abs_margin_mean,dir_active_abs_margin_median,dir_active_abs_margin_p90,dir_active_abs_margin_near0_frac,dir_active_signed_raw_mean,dir_active_signed_raw_median,dir_active_signed_raw_p10,dir_active_signed_raw_frac_pos,dir_active_signed_gate_mean,dir_active_signed_gate_median,dir_active_signed_gate_p10,dir_active_signed_gate_frac_pos,cross_source_mean_cos,cross_source_p90_cos,cross_source_gt_0p7_frac,cross_pred_mean_cos,cross_pred_p90_cos,cross_pred_gt_0p7_frac,cross_target_mean_cos,cross_target_p90_cos,cross_target_gt_0p7_frac,cross_num_lags,cross_pred_target_diag_mean,cross_pred_target_offdiag_mean,cross_pred_target_diag_gap,cross_agg_max_mean,cross_agg_max_p90,cross_agg_eff_parents_mean,noise_probe_available,noise_probe_timestep,noise_probe_patel_loss,noise_probe_blend50_loss,noise_probe_learned_loss,noise_probe_delta_blend50_minus_patel,noise_probe_delta_learned_minus_patel,noise_probe_ratio_blend50_over_patel,noise_probe_ratio_learned_over_patel,noise_probe_guide_l1_mean,msg_dir_mode_is_causal,msg_dir_raw_diag_mean,msg_dir_raw_offdiag_mean,msg_dir_raw_diag_gap,msg_dir_causal_diag_mean,msg_dir_causal_offdiag_mean,msg_dir_causal_diag_gap,msg_dir_active_diag_gap,msg_dir_gap_delta_causal_minus_raw,msg_dir_prefers_causal,directional_kappa_gate_enabled,directional_kappa_gate_quantile,directional_kappa_gate_threshold,directional_kappa_gate_pair_frac,main_loss_weight,directional_loss_active,directional_loss_end_epoch,directional_loss_deactivated_from_epoch,dir_loss_raw,dir_loss_weighted,dir_lambda_current,direction_lr_multiplier,direction_lr_current,direction_branch_frozen,freeze_direction_after_epoch,direction_branch_frozen_from_epoch,cross_loss_raw,cross_loss_weighted,cross_lambda_current,cross_fixed_weight_target,anti_collapse_raw,anti_collapse_weighted,anti_collapse_lambda_current,anti_collapse_margin,anti_collapse_mode,ortho_loss_raw,ortho_loss_weighted,parent_entropy_raw,parent_entropy_weighted,parent_entropy_lambda_current,parent_cap_raw,parent_cap_weighted,parent_cap_lambda_current,parent_cap_target,ungated_symmetry_raw,ungated_symmetry_weighted,ungated_symmetry_lambda_current,gradient_alignment_probe_enabled,gradient_alignment_probe_seed,grad_probe_available,grad_probe_lambda_dir,grad_probe_diff_norm,grad_probe_dir_norm_raw,grad_probe_dir_norm_weighted,grad_probe_dir_to_diff_norm_ratio,grad_probe_cosine,grad_probe_cosine_negative
1,0.401422,0,0.750000,0.666667,0.000000,0.666667,0.080730,0.312146,0.000000,1.000000,0.000000,0.171429,0.013839,0.092002,12,18,0,before_selection_start,0.000000,0.500000,0.000000,0.023520,0.056146,2.387114,0.000000,0.240664,0.329284,0.110758,0.293507,2.248347,3.486909,0.000000,0.000000,0.000000,0.106667,0.013223,0.109802,0.105755,0.073116,0.772419,0.548778,1.388048,0.000000,0.609329,0.297767,-0.053602,0.833333,0.250789,0.147427,-0.026795,0.833333,0.157186,0.361872,0.000000,0.357253,0.657446,0.068398,0.150137,0.382991,0.000000,3.000000,-0.032530,-0.007132,-0.025399,0.573810,0.718945,2.157509,1.000000,500.000000,1.352158,1.349624,1.348644,-0.002534,-0.003513,0.998126,0.997402,0.060051,0.000000,0.219299,0.124072,0.095227,0.206236,0.127114,0.079122,0.095227,-0.016105,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.630558,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0.739508,0.073561,0.100000,0.100000,0.026043,0.006886,0.100000,0.020000,signed_gate,0.061470,0.000000,0.293507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.398585,0,0.833333,0.722222,0.000000,0.666667,0.076013,0.295016,0.000000,1.000000,0.000000,0.171429,0.013031,0.086654,12,18,0,before_selection_start,0.000000,0.500000,0.000000,0.021806,0.052112,2.389827,0.000000,0.225093,0.305281,0.095551,0.293320,2.246550,3.489964,0.000000,0.000000,0.000000,0.106667,0.013223,0.109802,0.105755,0.073116,0.752289,0.322212,1.534042,0.000000,0.708701,0.322212,0.160704,0.916667,0.295129,0.159659,0.080179,0.916667,0.157186,0.361872,0.000000,0.362742,0.654125,0.076190,0.150137,0.382991,0.000000,3.000000,-0.032448,-0.007287,-0.025161,0.574920,0.695492,2.153755,1.000000,500.000000,1.324758,1.324757,1.324071,-0.000001,-0.000687,0.999999,0.999481,0.061772,0.000000,0.219268,0.123845,0.095423,0.205767,0.127613,0.078153,0.095423,-0.017270,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.578877,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0.739482,0.073564,0.100000,0.100000,0.006697,0.001462,0.100000,0.020000,signed_gate,0.060333,0.000000,0.293320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.397028,0,0.750000,0.666667,0.000000,0.666667,0.073445,0.285609,0.000000,1.000000,0.000000,0.171429,0.012591,0.083740,12,18,0,before_selection_start,0.000000,0.500000,0.000000,0.020964,0.050190,2.394073,0.000000,0.217384,0.293500,0.089412,0.293396,2.245862,3.501435,0.000000,0.000000,0.000000,0.106667,0.013223,0.109802,0.105755,0.073116,0.750960,0.364224,1.551792,0.000000,0.750960,0.364224,0.184155,1.000000,0.317735,0.180109,0.091818,1.000000,0.157186,0.361872,0.000000,0.366390,0.652863,0.076190,0.150137,0.382991,0.000000,3.000000,-0.032541,-0.007292,-0.025249,0.576381,0.693756,2.150666,1.000000,500.000000,1.324083,1.323375,1.324239,-0.000708,0.000156,0.999465,1.000117,0.062658,0.000000,0.219497,0.123607,0.095890,0.205061,0.127712,0.077349,0.095890,-0.018541,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.548691,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0.739675,0.073563,0.100000,0.100000,0.000000,0.000138,0.100000,0.020000,signed_gate,0.059583,0.000000,0.293396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.396613,0,0.750000,0.666667,0.000000,0.666667,0.072761,0.283097,0.000000,1.000000,0.000000,0.171429,0.012473,0.082965,12,18,0,before_selection_start,0.000000,0.500000,0.000000,0.020669,0.049652,2.402240,0.000000,0.214413,0.289366,0.086413,0.293322,2.245781,3.503696,0.000000,0.000000,0.000000,0.106667,0.013223,0.109802,0.105755,0.073116,0.740121,0.359787,1.471801,0.000000,0.740121,0.359787,0.180761,1.000000,0.315188,0.177976,0.090135,1.000000,0.157186,0.361872,0.000000,0.365825,0.658065,0.076190,0.150137,0.382991,0.000000,3.000000,-0.032666,-0.007412,-0.025254,0.578218,0.707155,2.149740,1.000000,500.000000,1.332731,1.330446,1.334086,-0.002285,0.001355,0.998286,1.001016,0.062966,0.000000,0.219938,0.123212,0.096726,0.204998,0.127474,0.077524,0.096726,-0.019201,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.544320,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0.739639,0.073562,0.100000,0.100000,0.000000,0.000000,0.100000,0.020000,signed_gate,0.059262,0.000000,0.293322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.391771,0,0.750000,0.666667,0.000000,0.666667,0.064869,0.253805,0.000000,1.000000,0.000000,0.171429,0.011120,0.074000,12,18,0,before_selection_start,0.000000,0.500000,0.000000,0.020218,0.048137,2.380852,0.000000,0.201725,0.283058,0.084191,0.295553,2.260905,3.561197,0.000000,0.000000,0.000000,0.106667,0.013223,0.109802,0.105755,0.073116,0.691676,0.387657,1.272324,0.000000,0.691676,0.387657,0.210073,1.000000,0.300990,0.191391,0.104652,1.000000,0.157186,0.361872,0.000000,0.366618,0.671750,0.066667,0.150137,0.382991,0.000000,3.000000,-0.032869,-0.008012,-0.024857,0.573938,0.688546,2.171498,1.000000,500.000000,1.326626,1.324117,1.323938,-0.002509,-0.002688,0.998109,0.997974,0.063455,0.000000,0.218780,0.123944,0.094835,0.206457,0.127894,0.078563,0.094835,-0.016273,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.556423,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0.740195,0.073561,0.100000,0.100000,0.000000,0.000000,0.100000,0.020000,signed_gate,0.059000,0.000000,0.295553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.390911,1,0.750000,0.666667,0.000000,0.666667,0.063481,0.248602,0.000000,1.000000,0.000000,0.171429,0.010882,0.072422,12,18,0,low_density_factor|density_ratio_out_of_range,0.000000,0.500000,0.000000,0.020026,0.047597,2.376777,0.000000,0.197705,0.280361,0.079607,0.296342,2.267506,3.598197,0.000000,0.000000,0.000000,0.106667,0.013223,0.109802,0.105755,0.073116,0.692470,0.506603,1.144580,0.000000,0.692470,0.506603,0.264163,1.000000,0.308058,0.247998,0.131319,1.000000,0.157186,0.361872,0.000000,0.364171,0.676271,0.066667,0.150137,0.382991,0.000000,3.000000,-0.032775,-0.007933,-0.024842,0.572313,0.686798,2.180672,1.000000,500.000000,1.307469,1.309427,1.308002,0.001958,0.000533,1.001497,1.000408,0.063634,0.000000,0.218304,0.123601,0.094703,0.207554,0.127786,0.079768,0.094703,-0.014935,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.499052,0.000781,0.002269,1.000000,0.001000,0,-1,-1,0.740389,0.073552,0.100000,0.100000,0.000000,0.000000,0.100000,0.020000,signed_gate,0.058490,0.000396,0.296342,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.002269,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.399024,1,0.666667,0.611111,0.000000,0.666667,0.076740,0.297668,0.000000,1.000000,0.000000,0.171429,0.013155,0.087478,12,18,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.020321,0.049147,2.418603,0.000000,0.199269,0.284488,0.076519,0.291728,2.240504,3.533169,0.000000,0.000000,0.000000,0.106667,0.013223,0.109802,0.105755,0.073116,0.865723,0.816294,1.105778,0.000000,0.865723,0.816294,0.424738,1.000000,0.389184,0.384586,0.209233,1.000000,0.157186,0.361872,0.000000,0.357356,0.669434,0.070996,0.150137,0.382991,0.000000,3.000000,-0.032529,-0.007541,-0.024988,0.583659,0.727303,2.136838,1.000000,500.000000,1.291875,1.289593,1.290402,-0.002282,-0.001473,0.998234,0.998860,0.063278,0.000000,0.218323,0.121676,0.096647,0.206305,0.126726,0.079579,0.096647,-0.017068,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.236132,0.001981,0.008602,1.000000,0.001000,0,-1,-1,0.740648,0.073547,0.100000,0.100000,0.000000,0.000000,0.100000,0.020000,signed_gate,0.057554,0.001097,0.291728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.008602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.408084,1,0.666667,0.611111,0.000000,0.666667,0.092018,0.352303,0.000000,1.000000,0.000000,0.171429,0.015774,0.104777,12,18,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.019909,0.049855,2.504077,0.000000,0.223944,0.278732,0.080145,0.282272,2.189993,3.506758,0.000000,0.000000,0.000000,0.106667,0.013223,0.109802,0.105755,0.073116,1.177669,1.130456,1.254736,0.000000,1.177669,1.130456,1.112374,1.000000,0.523826,0.511846,0.505143,1.000000,0.157186,0.361872,0.000000,0.345723,0.660824,0.066667,0.150137,0.382991,0.000000,3.000000,-0.031367,-0.007392,-0.023975,0.612285,0.745701,2.065662,1.000000,500.000000,1.293662,1.292398,1.296820,-0.001264,0.003158,0.999023,1.002441,0.063804,0.000000,0.214425,0.119927,0.094498,0.207424,0.123971,0.083453,0.094498,-0.011045,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.012104,0.002321,0.189152,1.000000,0.001000,0,-1,-1,0.740327,0.073546,0.100000,0.100000,0.000000,0.000000,0.100000,0.020000,signed_gate,0.056244,0.001686,0.282272,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.189152,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.426820,1,0.666667,0.611111,0.000000,0.666667,0.125773,0.464546,0.000000,1.000000,0.000000,0.171429,0.021561,0.142759,12,18,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.019164,0.052891,2.759946,0.000000,0.264880,0.268291,0.100525,0.234882,1.942180,2.930799,0.000000,0.000000,0.000000,0.106667,0.013223,0.109802,0.105755,0.073116,2.191162,2.187072,2.212717,0.000000,2.191162,2.187072,2.174799,1.000000,0.798888,0.798165,0.795927,1.000000,0.157186,0.361872,0.000000,0.318729,0.636861,0.066667,0.150137,0.382991,0.000000,3.000000,-0.029448,-0.006526,-0.022922,0.691875,0.906366,1.791226,1.000000,500.000000,1.304829,1.297786,1.297472,-0.007043,-0.007357,0.994602,0.994362,0.064915,0.000000,0.208433,0.114780,0.093652,0.200221,0.118563,0.081658,0.093652,-0.011995,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.002000,0.000967,0.498198,1.000000,0.001000,0,-1,-1,0.739715,0.073512,0.100000,0.100000,0.000000,0.000000,0.100000,0.020000,signed_gate,0.054508,0.002288,0.234882,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.498198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.433733,1,0.750000,0.666667,0.000000,0.666667,0.139210,0.505628,0.000000,1.000000,0.000000,0.171429,0.023865,0.157768,12,18,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.019038,0.055473,2.913813,0.000000,0.317617,0.266530,0.117482,0.196370,1.767454,2.503541,0.000000,0.000000,0.000000,0.106667,0.013223,0.109802,0.105755,0.073116,3.141024,3.138948,3.158830,0.000000,3.141024,3.138948,3.132905,1.000000,0.917103,0.916942,0.916460,1.000000,0.157186,0.361872,0.000000,0.302755,0.618666,0.057143,0.150137,0.382991,0.000000,3.000000,-0.028803,-0.006174,-0.022629,0.731248,0.961520,1.653616,1.000000,500.000000,1.283388,1.286081,1.288392,0.002693,0.005003,1.002098,1.003898,0.065292,0.000000,0.205150,0.111992,0.093158,0.196899,0.115665,0.081234,0.093158,-0.011924,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.000700,0.000399,0.499991,1.000000,0.001000,0,-1,-1,0.739428,0.073472,0.100000,0.100000,0.000000,0.000000,0.100000,0.020000,signed_gate,0.053340,0.002878,0.196370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.499991,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
