0.8804,0.5395,0.4206,0.3687,0.4036,0.4690,0.3451,0.2276,0.2934,0.2522,0.5580,0.4052,0.2210,0.2865,0.2527,0.4705,0.3549,0.2132,0.2748,0.2427,0.5117,0.3678,0.1736,0.2325,0.2040,0.5281,0.4107,0.2359,0.2846,0.2523,0.5303,0.3389,0.2039,0.2918,0.2490,0.4998,0.3764,0.2026,0.2966,0.2206,0.4829,0.3973,0.2234,0.2654,0.2257,0.5282,0.3345,0.1805,0.2298,0.1909
0.6641,0.8137,0.5027,0.3940,0.3665,0.4263,0.3169,0.2575,0.3100,0.2552,0.5135,0.3795,0.2332,0.2718,0.2482,0.4528,0.3401,0.2148,0.2757,0.2219,0.4878,0.3415,0.1995,0.2470,0.2033,0.4957,0.3953,0.2603,0.3171,0.2543,0.5073,0.3262,0.2010,0.2715,0.2377,0.4659,0.3619,0.2013,0.2916,0.2033,0.4409,0.3546,0.2094,0.2605,0.2100,0.4795,0.3020,0.1865,0.2291,0.1805
0.5774,0.5494,0.7962,0.4692,0.3661,0.4283,0.3148,0.3298,0.3344,0.2576,0.4688,0.3796,0.2635,0.2823,0.2378,0.4280,0.3247,0.2437,0.2723,0.2241,0.4552,0.3287,0.2447,0.2737,0.2087,0.4822,0.3943,0.3304,0.3479,0.2569,0.4820,0.3051,0.2341,0.2637,0.2480,0.4095,0.3132,0.1922,0.2680,0.1911,0.4124,0.3357,0.2065,0.2347,0.2132,0.4505,0.2821,0.1977,0.2292,0.1769
0.5091,0.4701,0.5069,0.7795,0.4038,0.4242,0.3103,0.2530,0.3147,0.2526,0.4929,0.3735,0.2168,0.2614,0.2419,0.4420,0.3237,0.2110,0.2540,0.2213,0.4741,0.3499,0.1989,0.2608,0.2024,0.4828,0.3871,0.2652,0.3086,0.2515,0.4788,0.3133,0.1931,0.2452,0.2486,0.4535,0.3322,0.1884,0.2764,0.2059,0.4259,0.3339,0.1970,0.2294,0.2002,0.4566,0.2931,0.1817,0.2079,0.1842
0.6373,0.4713,0.4359,0.4837,0.7362,0.4174,0.3171,0.2368,0.2914,0.2565,0.4766,0.3730,0.2147,0.2641,0.2439,0.4136,0.3206,0.2137,0.2568,0.2164,0.4572,0.3380,0.1652,0.2334,0.1940,0.4644,0.3791,0.2243,0.2784,0.2382,0.4536,0.3073,0.1811,0.2342,0.2289,0.4529,0.3427,0.1861,0.2768,0.2059,0.4005,0.3358,0.2035,0.2359,0.2042,0.4376,0.3166,0.1694,0.2143,0.1763
0.4654,0.3356,0.3065,0.2914,0.2481,0.8596,0.5070,0.2707,0.3418,0.3924,0.5305,0.3832,0.2393,0.2836,0.2520,0.4711,0.3408,0.2206,0.2845,0.2299,0.5042,0.3687,0.1652,0.2360,0.2180,0.5395,0.4097,0.2028,0.2697,0.2364,0.5111,0.3104,0.1867,0.2674,0.2482,0.5026,0.3615,0.1885,0.2750,0.2129,0.4785,0.3754,0.2089,0.2548,0.2199,0.5272,0.3279,0.1770,0.2261,0.2032
0.4404,0.3414,0.3053,0.2962,0.2525,0.6847,0.7671,0.3528,0.3774,0.3685,0.5169,0.3744,0.2842,0.3119,0.2665,0.4716,0.3560,0.2438,0.2909,0.2283,0.4917,0.3725,0.1617,0.2378,0.2105,0.5074,0.3982,0.1984,0.2683,0.2283,0.4721,0.3009,0.1822,0.2548,0.2436,0.4889,0.3494,0.1857,0.2769,0.2295,0.4562,0.3681,0.2091,0.2462,0.2146,0.4990,0.3245,0.1787,0.2278,0.2010
0.3991,0.3631,0.4434,0.3314,0.2515,0.5289,0.4716,0.6924,0.4388,0.3345,0.4181,0.3427,0.3389,0.3056,0.2584,0.3946,0.3175,0.2639,0.2781,0.2075,0.3853,0.3131,0.1899,0.2475,0.1860,0.4222,0.3506,0.2404,0.2665,0.2103,0.3849,0.2694,0.1762,0.2255,0.2262,0.3703,0.2801,0.1609,0.2302,0.1846,0.3639,0.3018,0.1865,0.2164,0.1969,0.4010,0.2637,0.1639,0.1946,0.1655
0.4502,0.3815,0.3925,0.3352,0.2720,0.5194,0.4093,0.3748,0.7835,0.4119,0.5064,0.3863,0.3076,0.3099,0.2615,0.4423,0.3387,0.2529,0.2895,0.2420,0.4457,0.3381,0.1876,0.2436,0.2076,0.4888,0.3718,0.2174,0.2723,0.2354,0.4466,0.2969,0.1820,0.2584,0.2335,0.4614,0.3271,0.1794,0.2653,0.2299,0.4296,0.3455,0.2011,0.2337,0.2086,0.4627,0.2946,0.1640,0.2208,0.1882
0.4268,0.3380,0.3308,0.2921,0.2479,0.6323,0.4481,0.3123,0.4835,0.7029,0.4773,0.3768,0.2681,0.2915,0.2447,0.4253,0.3274,0.2279,0.2648,0.2244,0.4490,0.3405,0.1634,0.2358,0.2105,0.4950,0.3868,0.2013,0.2675,0.2246,0.4253,0.2960,0.1779,0.2434,0.2345,0.4705,0.3445,0.1754,0.2652,0.2172,0.4174,0.3505,0.1944,0.2254,0.2081,0.4532,0.2955,0.1663,0.2146,0.1899
