epoch,effective_rank,mean_cosine_sim,dead_dims_ratio,feature_std_mean,inter_subject_var,encoder_weight_norm
10,11.583118,0.171116,0.000000,0.912503,0.792275,3.288043
20,11.583118,0.171116,0.000000,0.912503,0.792275,3.288043
30,11.583118,0.171116,0.000000,0.912503,0.792275,3.288043
40,11.583118,0.171116,0.000000,0.912503,0.792275,3.288043
50,11.583118,0.171116,0.000000,0.912503,0.792275,3.288043
60,11.583118,0.171116,0.000000,0.912503,0.792275,3.288043
70,11.583118,0.171116,0.000000,0.912503,0.792275,3.288043
80,11.583118,0.171116,0.000000,0.912503,0.792275,3.288043
90,11.583118,0.171116,0.000000,0.912503,0.792275,3.288043
100,11.583118,0.171116,0.000000,0.912503,0.792275,3.288043
