"batch_tag","dataset","csv_path","gt_path","variant","support_prior_algorithm","direction_prior_algorithm","direction_init_mode","run_dir","runtime_sec","device","epochs","subject_limit","time_limit","skip_pretrain","status","error_message","best_proxy_epoch","best_proxy_score_primary_total","best_proxy_skeleton_overlap","best_proxy_agreement","best_proxy_dir_margin","final_epoch","final_score_primary_total","final_skeleton_overlap","final_agreement","final_dir_margin","best_gt_epoch","best_gt_primary_strict_f1","exported_epoch","exported_primary_strict_f1","final_primary_strict_f1","exported_vs_best_gt_gap_primary_strict_f1","exported_failure_mode","final_failure_mode"
"20260406_191524","fMRI","D:\mockup\DDM-main\fMRI_dataset\fMRI.csv","D:\mockup\DDM-main\fMRI_dataset\h1.txt","baseline_patel","patel","patel","patel_tau","D:\mockup\DDM-main\results\run_20260406_191528","30.85","cuda","12","-1","-1","1","ok","","9","0.05","1","1","0.401319","12","0.05","1","1","0.406002","2","0.533333","12","0.533333","0.533333","0","mixed_or_partial","mixed_or_partial"
"20260406_191524","fMRI","D:\mockup\DDM-main\fMRI_dataset\fMRI.csv","D:\mockup\DDM-main\fMRI_dataset\h1.txt","patel_support_lag_gain_zero_init","patel","lag_gain","zeros","D:\mockup\DDM-main\results\run_20260406_191559","29.87","cuda","12","-1","-1","1","ok","","9","0.032358","1","0.6","0.40108","12","0.032358","1","0.6","0.405645","2","0.533333","12","0.533333","0.533333","0","mixed_or_partial","mixed_or_partial"
"20260406_191524","sim2","D:\mockup\DDM-main\fMRI_dataset\sim2.csv","D:\mockup\DDM-main\fMRI_dataset\h2.txt","baseline_patel","patel","patel","patel_tau","D:\mockup\DDM-main\results\run_20260406_191629","43.86","cuda","12","-1","-1","1","ok","","10","0.038659","1","0.727273","0.249221","12","0.038659","1","0.727273","0.249511","12","0.321429","12","0.321429","0.321429","0","mixed_or_partial","mixed_or_partial"
"20260406_191524","sim2","D:\mockup\DDM-main\fMRI_dataset\sim2.csv","D:\mockup\DDM-main\fMRI_dataset\h2.txt","patel_support_lag_gain_zero_init","patel","lag_gain","zeros","D:\mockup\DDM-main\results\run_20260406_191713","45.4","cuda","12","-1","-1","1","ok","","2","0.03474","1","0.727273","0.246872","12","0.032286","1","0.636364","0.249529","12","0.321429","7","0.321429","0.321429","0","mixed_or_partial","mixed_or_partial"
"20260406_191524","sim3","D:\mockup\DDM-main\fMRI_dataset\sim3.csv","D:\mockup\DDM-main\fMRI_dataset\h3.txt","baseline_patel","patel","patel","patel_tau","D:\mockup\DDM-main\results\run_20260406_191758","63.2","cuda","12","-1","-1","1","ok","","1","0.037564","0.8","0.942857","0.33304","12","0.035361","0.76","0.9375","0.303675","12","0.243902","6","0.227642","0.243902","-0.01626","mixed_or_partial","mixed_or_partial"
"20260406_191524","sim3","D:\mockup\DDM-main\fMRI_dataset\sim3.csv","D:\mockup\DDM-main\fMRI_dataset\h3.txt","patel_support_lag_gain_zero_init","patel","lag_gain","zeros","D:\mockup\DDM-main\results\run_20260406_191902","60.36","cuda","12","-1","-1","1","ok","","1","0.018588","0.8","0.555556","0.33304","12","0.016223","0.76","0.555556","0.303663","12","0.243902","6","0.227642","0.243902","-0.01626","mixed_or_partial","mixed_or_partial"
"20260406_191524","sim4","D:\mockup\DDM-main\fMRI_dataset\sim4.csv","D:\mockup\DDM-main\fMRI_dataset\h4.txt","baseline_patel","patel","patel","patel_tau","D:\mockup\DDM-main\results\run_20260406_192002","187.05","cuda","12","-1","-1","1","ok","","10","0.037","0.74","1","0.244431","12","0.036","0.72","1","0.230586","1","0.07465","6","0.07465","0.07465","0","weak_asymmetry","weak_asymmetry"
"20260406_191524","sim4","D:\mockup\DDM-main\fMRI_dataset\sim4.csv","D:\mockup\DDM-main\fMRI_dataset\h4.txt","patel_support_lag_gain_zero_init","patel","lag_gain","zeros","D:\mockup\DDM-main\results\run_20260406_192310","178.7","cuda","12","-1","-1","1","ok","","12","0.013833","0.72","0.5","0.230215","12","0.013833","0.72","0.5","0.230215","1","0.07465","6","0.07465","0.07465","0","weak_asymmetry","weak_asymmetry"
