"dataset","variant","baseline_status","candidate_status","baseline_run_dir","candidate_run_dir","baseline_best_proxy_score_primary_total","candidate_best_proxy_score_primary_total","delta_best_proxy_score_primary_total","baseline_exported_primary_strict_f1","candidate_exported_primary_strict_f1","delta_exported_primary_strict_f1","baseline_best_gt_primary_strict_f1","candidate_best_gt_primary_strict_f1","delta_best_gt_primary_strict_f1","baseline_exported_vs_best_gt_gap_primary_strict_f1","candidate_exported_vs_best_gt_gap_primary_strict_f1","delta_exported_gap_primary_strict_f1"
"fMRI","patel_support_lag_gain_zero_init","ok","ok","D:\mockup\DDM-main\results\run_20260406_191528","D:\mockup\DDM-main\results\run_20260406_191559","0.05","0.032358","-0.017642","0.533333","0.533333","0","0.533333","0.533333","0","0","0","0"
"sim2","patel_support_lag_gain_zero_init","ok","ok","D:\mockup\DDM-main\results\run_20260406_191629","D:\mockup\DDM-main\results\run_20260406_191713","0.038659","0.03474","-0.003919","0.321429","0.321429","0","0.321429","0.321429","0","0","0","0"
"sim3","patel_support_lag_gain_zero_init","ok","ok","D:\mockup\DDM-main\results\run_20260406_191758","D:\mockup\DDM-main\results\run_20260406_191902","0.037564","0.018588","-0.018976","0.227642","0.227642","0","0.243902","0.243902","0","-0.01626","-0.01626","0"
"sim4","patel_support_lag_gain_zero_init","ok","ok","D:\mockup\DDM-main\results\run_20260406_192002","D:\mockup\DDM-main\results\run_20260406_192310","0.037","0.013833","-0.023167","0.07465","0.07465","0","0.07465","0.07465","0","0","0","0"
