0.7006,0.2580,0.2021,0.1186,0.1673,0.0471,0.0575,0.1011,0.0699,0.0452,0.1015,0.0871,0.1280,0.1420,0.1093
0.1838,0.7325,0.2921,0.1048,0.1037,0.0523,0.0623,0.1277,0.0885,0.0458,0.1234,0.1240,0.1981,0.1919,0.1285
0.0861,0.1758,0.8153,0.1680,0.0826,0.0373,0.0505,0.1748,0.0944,0.0409,0.0969,0.1223,0.3030,0.2822,0.1450
0.1318,0.1417,0.2934,0.6956,0.1776,0.0410,0.0490,0.1121,0.0766,0.0474,0.1078,0.1040,0.1776,0.1856,0.1542
0.2173,0.1662,0.2222,0.2377,0.6463,0.0390,0.0434,0.0928,0.0688,0.0384,0.0995,0.0924,0.1332,0.1448,0.1126
0.0313,0.0394,0.0378,0.0277,0.0285,0.9055,0.4505,0.1549,0.1663,0.3128,0.1212,0.1029,0.0823,0.1147,0.0988
0.0236,0.0273,0.0339,0.0282,0.0229,0.5084,0.9432,0.2891,0.2540,0.2769,0.0970,0.0937,0.1058,0.1368,0.0926
0.0308,0.0410,0.0929,0.0480,0.0333,0.1495,0.3311,0.8220,0.3046,0.1516,0.1228,0.1398,0.2523,0.2608,0.1422
0.0327,0.0389,0.0603,0.0416,0.0381,0.2143,0.3294,0.3070,0.8476,0.2646,0.0987,0.0965,0.1339,0.1490,0.0994
0.0369,0.0390,0.0466,0.0357,0.0375,0.4516,0.3694,0.1931,0.2975,0.8348,0.1227,0.0989,0.1002,0.1306,0.0975
0.0372,0.0399,0.0398,0.0393,0.0388,0.0534,0.0535,0.0620,0.0530,0.0526,0.9689,0.8107,0.1859,0.3403,0.6244
0.0332,0.0469,0.0504,0.0415,0.0418,0.0534,0.0576,0.0702,0.0649,0.0538,0.8101,0.9672,0.2650,0.3773,0.5336
0.0302,0.0548,0.1422,0.0680,0.0376,0.0463,0.0856,0.2064,0.1126,0.0537,0.4435,0.5885,0.8737,0.5702,0.4544
0.0357,0.0506,0.0986,0.0599,0.0389,0.0425,0.0801,0.1149,0.0772,0.0505,0.5180,0.6122,0.3491,0.9105,0.5587
0.0418,0.0469,0.0713,0.0590,0.0461,0.0559,0.0729,0.0947,0.0680,0.0556,0.7701,0.7066,0.2687,0.5144,0.9470
