epoch,score,selection_eligible,agreement,agreement_score,agreement_weight,agreement_coverage,dir_margin,margin_score,density_factor,skeleton_overlap,actual_pair_density,target_pair_density,global_asymmetry,asymmetry_score,high_conf_edges,k,guardrail_pass,guardrail_reason,guardrail_density_ratio,guardrail_required_skeleton_overlap,guardrail_peak_skeleton_overlap,adj_offdiag_mean,adj_offdiag_std,adj_offdiag_cv,adj_offdiag_min,adj_offdiag_max,adj_in_degree_mean,adj_in_degree_std,adj_parent_entropy_mean,adj_eff_parents_mean,adj_eff_parents_p90,adj_ungated_asym_mean,adj_ungated_asym_median,adj_ungated_asym_p90,noise_probe_available,noise_probe_timestep,noise_probe_patel_loss,noise_probe_blend50_loss,noise_probe_learned_loss,noise_probe_delta_blend50_minus_patel,noise_probe_delta_learned_minus_patel,noise_probe_ratio_blend50_over_patel,noise_probe_ratio_learned_over_patel,noise_probe_guide_l1_mean,msg_dir_mode_is_causal,msg_dir_raw_diag_mean,msg_dir_raw_offdiag_mean,msg_dir_raw_diag_gap,msg_dir_causal_diag_mean,msg_dir_causal_offdiag_mean,msg_dir_causal_diag_gap,msg_dir_active_diag_gap,msg_dir_gap_delta_causal_minus_raw,msg_dir_prefers_causal,directional_kappa_gate_enabled,directional_kappa_gate_quantile,directional_kappa_gate_threshold,directional_kappa_gate_pair_frac,parent_entropy_raw,parent_entropy_weighted,parent_entropy_lambda_current,parent_cap_raw,parent_cap_weighted,parent_cap_lambda_current,parent_cap_target,ungated_symmetry_raw,ungated_symmetry_weighted,ungated_symmetry_lambda_current
11,0.402036,1,1.000000,0.745902,0.000000,0.491803,0.087655,0.336926,0.000214,1.000000,0.000816,0.049796,0.004365,0.029091,30,61,0,low_density_factor|density_ratio_out_of_range,0.016393,0.850000,1.000000,0.003736,0.024507,6.559442,0.000000,0.504569,0.183067,0.120492,0.155886,1.973810,3.487641,0.000000,0.000000,0.000000,1.000000,500.000000,1.137524,1.138014,1.138672,0.000491,0.001148,1.000432,1.001010,0.021953,0.000000,0.176904,0.032735,0.144169,0.198163,0.031649,0.166514,0.144169,0.022345,1.000000,1,0.500000,0.020595,0.327200,0.155886,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,0.398491,1,1.000000,0.745902,0.000000,0.491803,0.081321,0.314276,0.000000,1.000000,0.000000,0.049796,0.004049,0.026990,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.003580,0.023520,6.568929,0.000000,0.491297,0.175440,0.116435,0.154410,1.958861,3.304323,0.000000,0.000000,0.000000,1.000000,500.000000,1.133176,1.133381,1.132396,0.000206,-0.000779,1.000181,0.999312,0.022153,0.000000,0.175989,0.032538,0.143450,0.197767,0.031680,0.166087,0.143450,0.022636,1.000000,1,0.500000,0.020595,0.327200,0.154410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,0.396991,1,1.000000,0.745902,0.000000,0.491803,0.078639,0.304576,0.000000,1.000000,0.000000,0.049796,0.003916,0.026100,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.003539,0.023202,6.556069,0.000000,0.469433,0.173411,0.113952,0.152551,1.942816,3.270099,0.000000,0.000000,0.000000,1.000000,500.000000,1.137379,1.136118,1.137214,-0.001260,-0.000164,0.998892,0.999855,0.022201,0.000000,0.174662,0.031937,0.142725,0.196670,0.031843,0.164828,0.142725,0.022103,1.000000,1,0.500000,0.020595,0.327200,0.152551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,0.394942,1,1.000000,0.745902,0.000000,0.491803,0.075000,0.291314,0.000000,1.000000,0.000000,0.049796,0.003735,0.024893,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.003512,0.022955,6.536203,0.000000,0.454977,0.172088,0.114251,0.150850,1.925014,3.226662,0.000000,0.000000,0.000000,1.000000,500.000000,1.136950,1.135671,1.136281,-0.001278,-0.000668,0.998876,0.999412,0.022240,0.000000,0.173736,0.031745,0.141991,0.194794,0.031722,0.163072,0.141991,0.021081,1.000000,1,0.500000,0.020595,0.327200,0.150850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,0.393381,1,1.000000,0.745902,0.000000,0.491803,0.072249,0.281212,0.000000,1.000000,0.000000,0.049796,0.003598,0.023980,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.003696,0.024485,6.625553,0.000000,0.454070,0.181080,0.121027,0.145816,1.886243,3.139385,0.000000,0.000000,0.000000,1.000000,500.000000,1.127932,1.129374,1.130982,0.001442,0.003050,1.001279,1.002704,0.022007,0.000000,0.172268,0.031362,0.140905,0.191985,0.031344,0.160641,0.140905,0.019735,1.000000,1,0.500000,0.020595,0.327200,0.145816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,0.392636,1,1.000000,0.745902,0.000000,0.491803,0.070943,0.276394,0.000000,1.000000,0.000000,0.049796,0.003533,0.023547,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.003674,0.024605,6.697068,0.000000,0.446271,0.180024,0.121541,0.143532,1.865480,3.072718,0.000000,0.000000,0.000000,1.000000,500.000000,1.122574,1.123132,1.125757,0.000558,0.003184,1.000498,1.002836,0.022038,0.000000,0.172017,0.031168,0.140849,0.189714,0.031141,0.158573,0.140849,0.017724,1.000000,1,0.500000,0.020595,0.327200,0.143532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,0.389362,1,1.000000,0.745902,0.000000,0.491803,0.065241,0.255197,0.000000,1.000000,0.000000,0.049796,0.003249,0.021655,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.003637,0.024363,6.698177,0.000000,0.445522,0.178223,0.116320,0.139397,1.833473,2.907267,0.000000,0.000000,0.000000,1.000000,500.000000,1.118633,1.116609,1.117529,-0.002025,-0.001105,0.998190,0.999012,0.022068,0.000000,0.171410,0.030920,0.140490,0.187752,0.030726,0.157026,0.140490,0.016536,1.000000,1,0.500000,0.020595,0.327200,0.139397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18,0.386869,1,1.000000,0.745902,0.000000,0.491803,0.060942,0.239050,0.000000,1.000000,0.000000,0.049796,0.003035,0.020228,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.003489,0.023116,6.625195,0.000000,0.416073,0.170966,0.110996,0.140305,1.840672,2.963580,0.000000,0.000000,0.000000,1.000000,500.000000,1.115665,1.112805,1.115952,-0.002861,0.000286,0.997436,1.000257,0.022255,0.000000,0.172391,0.030886,0.141504,0.188319,0.030756,0.157563,0.141504,0.016059,1.000000,1,0.500000,0.020595,0.327200,0.140305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,0.384195,1,1.000000,0.745902,0.000000,0.491803,0.056369,0.221732,0.000000,1.000000,0.000000,0.049796,0.002807,0.018711,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.003417,0.022555,6.600178,0.000000,0.388489,0.167448,0.106974,0.139213,1.832934,2.860409,0.000000,0.000000,0.000000,1.000000,500.000000,1.106968,1.106062,1.107200,-0.000906,0.000232,0.999181,1.000210,0.022343,0.000000,0.171840,0.030762,0.141077,0.188130,0.030477,0.157652,0.141077,0.016575,1.000000,1,0.500000,0.020595,0.327200,0.139213,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20,0.382697,1,1.000000,0.745902,0.000000,0.491803,0.053823,0.212026,0.000000,1.000000,0.000000,0.049796,0.002680,0.017866,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.003351,0.022220,6.630658,0.000000,0.379398,0.164203,0.105207,0.137259,1.819545,2.837336,0.000000,0.000000,0.000000,1.000000,500.000000,1.109943,1.110502,1.111136,0.000559,0.001193,1.000504,1.001075,0.022430,0.000000,0.170967,0.030604,0.140363,0.186793,0.030093,0.156700,0.140363,0.016336,1.000000,1,0.500000,0.020595,0.327200,0.137259,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
