epoch,loss
1,1.2122594404220581
2,1.206154444217682
3,1.2013154697418214
4,1.1965439772605897
5,1.1908555817604065
6,1.191137523651123
7,1.1863193464279176
8,1.189654185771942
9,1.1944327545166016
10,1.1870308470726014
11,1.1862218952178956
12,1.1888647174835205
13,1.1849117851257325
14,1.182893991470337
15,1.176042640209198
16,1.175840640068054
17,1.1745739126205443
18,1.17405526638031
19,1.1661056971549988
20,1.1699224495887757
21,1.1645656991004945
22,1.1742589569091797
23,1.1667245364189147
24,1.162622103691101
25,1.1610618257522582
26,1.1586802887916565
27,1.1567638421058655
28,1.1558572244644165
29,1.1506030797958373
30,1.1558783531188965
