epoch,effective_rank,mean_cosine_sim,dead_dims_ratio,feature_std_mean,inter_subject_var,encoder_weight_norm
5,37.101589,0.239717,0.000000,0.879845,0.798019,3.244384
10,37.748802,0.176248,0.000000,0.913061,0.851650,3.231364
12,37.875286,0.138449,0.000000,0.933079,0.887544,3.227737
