epoch,effective_rank,mean_cosine_sim,dead_dims_ratio,feature_std_mean,inter_subject_var,encoder_weight_norm
1,64.820183,0.119095,0.000000,0.946974,0.945136,3.287794
2,64.477333,0.110807,0.000000,0.953762,0.960895,3.289420
3,64.810135,0.125418,0.000000,0.949234,0.948956,3.290373
4,64.986031,0.155599,0.000000,0.934419,0.916904,3.291111
5,64.531029,0.183709,0.000000,0.921338,0.888852,3.291617
6,63.867386,0.270335,0.000000,0.871451,0.793371,3.294335
